title,premiere_year,final_year,seasons,episodes,country,technique,era,run_years,averageRating,numVotes,runtimeMinutes,genres,rating_norm,seasons_norm,votes_norm,success_score,is_successful,title_has_high_animal,title_has_low_animal,title_has_hero_keyword,title_word_count,title_has_character
Messy Goes to Okido,2015,2019,2,78,United Kingdom,CGI,Streaming Era (2010+),4,6.2,120.0,11.0,"Animation,Comedy,Family",0.6075949367088607,0.03125,0.00016141259075855272,0.2540158278312339,0,0,0,0,4,1
MeteoHeroes,2020,,1,52,Italy,Flash,Streaming Era (2010+),3,8.6,29.0,,"Adventure,Animation,Comedy",0.911392405063291,0.0,3.0264860767228633e-05,0.3645645282405082,1,0,0,0,1,0
Mia and Me,2012,,4,104,Germany,"CGI, Live-action",Streaming Era (2010+),11,6.8,1345.0,20.0,"Adventure,Animation,Family",0.6835443037974682,0.09375,0.0019268628021802232,0.3067119372195323,0,0,0,0,3,1
Mia's Magic Playground,2020,,1,24,British,CGI,Streaming Era (2010+),3,6.0,28.0,7.0,Animation,0.5822784810126581,0.0,2.882367692117013e-05,0.23291859832429354,0,0,0,0,3,1
Mickey Mouse,2013,2019,5,94,United States,Flash,Streaming Era (2010+),6,8.1,4477.0,4,"Adventure,Animation,Comedy",0.8481012658227846,0.125,0.006440650608035465,0.3846006689811227,1,0,0,0,2,1
Mickey Mouse Funhouse,2021,,1,22,United States,CGI,Streaming Era (2010+),2,5.3,559.0,11.0,"Action,Adventure,Animation",0.49367088607594933,0.0,0.000794092299178237,0.1976668775051743,0,0,0,0,3,1
Mickey Mouse Works,1999,2000,2,25,United States,Traditional,Modern (97-09),1,7.1,514.0,30.0,"Animation,Comedy,Family",0.721518987341772,0.03125,0.0007292390261056042,0.29972740469323517,0,0,0,0,3,1
Microscopic Milton,1997,1997,1,26,United Kingdom,Traditional,Modern (97-09),0,8.0,47.0,,Animation,0.8354430379746834,0.0,5.620616999628175e-05,0.3341912667323725,1,0,0,0,2,1
Middlemost Post,2021,,1,20,United States,Traditional,Streaming Era (2010+),2,6.6,339.0,,"Adventure,Animation,Comedy",0.6582278481012657,0.0,0.0004770318530453656,0.26341039720376763,0,0,0,0,2,1
Midnight Patrol: Adventures in the Dream Zone,1990,1990,1,13,Coproduction,Traditional,Golden Age (85-96),0,7.2,139.0,21.0,"Adventure,Animation,Comedy",0.7341772151898733,0.0,0.00018879508383366433,0.29371808484690776,0,0,0,1,7,1
Mischief City,2005,2005,1,26,Canada,Flash,Modern (97-09),0,6.3,37.0,,Animation,0.6202531645569619,0.0,4.179433153569669e-05,0.2481117144056687,0,0,0,0,2,1
Moominvalley,2019,,2,26,Coproduction,CGI,Streaming Era (2010+),4,7.2,1150.0,22.0,"Animation,Drama,Family",0.7341772151898733,0.03125,0.0016458319521988143,0.305019844063999,0,0,0,0,1,0
Moonbeam City,2015,2015,1,10,Coproduction,Flash,Streaming Era (2010+),0,6.9,2516.0,22.0,"Action,Animation,Comedy",0.6962025316455696,0.0,0.003614489085914734,0.2793846349297065,0,0,0,0,2,1
Mot,1996,1996,1,26,France,Traditional,Golden Age (85-96),0,7.2,28.0,30.0,Animation,0.7341772151898733,0.0,2.882367692117013e-05,0.29367809199517964,0,0,0,0,1,0
Mother Goose and Grimm,1991,1992,2,13,United States,Traditional,Golden Age (85-96),1,7.9,110.0,,"Animation,Comedy,Family",0.8227848101265822,0.03125,0.00014700075229796765,0.34008817423870735,1,0,0,0,4,1
Mother Up!,2013,2014,1,13,Canada,Flash,Streaming Era (2010+),1,5.4,659.0,,"Animation,Comedy",0.5063291139240507,0.0,0.0009382106837840876,0.2027661982405663,0,0,0,0,2,1
Monsters vs. Aliens,2013,2014,1,26,United States,CGI,Streaming Era (2010+),1,5.8,1740.0,15.0,"Action,Adventure,Animation",0.5569620253164557,0.0,0.002496130421373333,0.2234088427319256,0,0,0,0,3,1
Mouk,2011,2011,1,52,France,Flash,Streaming Era (2010+),0,7.4,140.0,11.0,Animation,0.7594936708860759,0.0,0.00019023626767972286,0.30384502742135033,0,0,0,0,1,0
Moville Mysteries,2002,2003,1,26,Canada,Traditional,Modern (97-09),1,7.7,222.0,,"Adventure,Animation,Comedy",0.7974683544303797,0.0,0.0003084133430565203,0.319064445107916,0,0,0,0,2,1
Mr. Bean: The Animated Series,2002,2019,5,130,United Kingdom,"Traditional (first 3 seasons, later seasons use Flash)",Modern (97-09),17,6.9,17103.0,11.0,"Animation,Comedy,Family",0.6962025316455696,0.125,0.024637037848370166,0.3283902721203204,1,0,0,0,5,1
Mr. Bogus,1991,1993,3,43,United States,Traditional,Golden Age (85-96),2,7.4,283.0,30.0,"Animation,Comedy,Family",0.7594936708860759,0.0625,0.00039632555766608925,0.32577154974384687,1,0,0,0,2,1
Mr. Men and Little Miss,1995,1997,3,107,United Kingdom,Traditional,Golden Age (85-96),2,7.4,135.0,5.0,"Animation,Comedy,Family",0.7594936708860759,0.0625,0.00018303034844943032,0.3257182259415427,1,0,0,0,5,1
Monsters At Work,2021,,1,10,United States,CGI,Streaming Era (2010+),2,7.0,10812.0,22.0,"Adventure,Animation,Comedy",0.7088607594936708,0.0,0.015570550272816104,0.2874369413656723,0,0,0,0,3,1
Mission Hill,1999,2000,1,13,United States,Traditional,Modern (97-09),1,7.8,5758.0,30.0,"Animation,Comedy,Drama",0.8101265822784809,0.0,0.008286807114836413,0.32612233469010143,1,0,0,0,2,1
Mofy,2013,,3,,Coproduction,Stop-motion,Streaming Era (2010+),10,7.9,77.0,5.0,"Animation,Family",0.8227848101265822,0.0625,9.944168537803694e-05,0.3510137844719774,1,0,0,0,1,0
Molang,2015,,5,313,Coproduction,Flash,Streaming Era (2010+),8,8.2,581.0,,"Animation,Comedy,Family",0.8607594936708859,0.125,0.0008257983437915241,0.3882602470543023,1,0,0,0,1,0
Molly of Denali,2019,,1,31,Coproduction,Flash,Streaming Era (2010+),4,8.7,304.0,30.0,"Action,Adventure,Animation",0.9240506329113921,0.0,0.00042659041843331785,0.3697269007691652,1,0,0,0,3,1
Momma Named Me Sheriff,2019,2021,2,19,United States,Flash,Streaming Era (2010+),2,6.1,1116.0,12.0,"Animation,Comedy",0.5949367088607593,0.03125,0.0015968317014328252,0.24931139146966194,0,0,0,0,4,1
Mona the Vampire,1999,2006,4,65,Coproduction,Traditional,Modern (97-09),7,6.2,1473.0,23.0,"Adventure,Animation,Comedy",0.6075949367088607,0.09375,0.0021113343344757118,0.2763783082671632,0,0,0,0,3,1
Mondo Yan,2020,,1,52,Coproduction,CGI,Streaming Era (2010+),3,7.7,11.0,,Animation,0.7974683544303797,0.0,4.32355153817552e-06,0.3189884226600364,0,0,0,0,2,1
Mongo Wrestling Alliance,2011,2011,1,10,United States,Flash/CGI,Streaming Era (2010+),0,3.9,195.0,11.0,Animation,0.31645569620253156,0.0,0.0002695013792129407,0.12664965382581586,0,0,0,0,3,1
Monster by Mistake,1996,2006,3,52,Canada,CGI,Golden Age (85-96),10,5.3,243.0,22.0,"Animation,Family,Fantasy",0.49367088607594933,0.0625,0.000338678203823749,0.21942802398133568,0,0,0,0,3,1
Monster Farm,1998,1999,1,13,United States,Traditional,Modern (97-09),1,6.5,139.0,,Animation,0.6455696202531644,0.0,0.00018879508383366433,0.25827504687222425,0,0,0,0,2,1
Monster Force,1994,1994,1,13,Coproduction,Traditional,Golden Age (85-96),0,7.0,129.0,25.0,"Animation,Fantasy,Horror",0.7088607594936708,0.0,0.00017438324537307926,0.2835878996088116,0,0,0,1,2,1
Mega Man: Fully Charged,2018,2019,1,52,Coproduction,CGI,Streaming Era (2010+),1,4.2,328.0,11.0,"Action,Adventure,Animation",0.35443037974683544,0.0,0.00046117883073872203,0.14188744660641886,0,0,0,0,4,1
Little Rosey,1990,1990,1,13,Coproduction,Traditional,Golden Age (85-96),0,5.7,95.0,30.0,"Animation,Comedy,Family",0.5443037974683544,0.0,0.00012538299460709005,0.21775286473599356,0,0,0,0,2,1
Little Shop,1991,1991,1,13,United States,Traditional,Golden Age (85-96),0,4.0,159.0,30.0,"Animation,Comedy,Family",0.3291139240506329,0.0,0.00021761876075483447,0.1316999743104419,0,0,0,0,2,1
Littlest Pet Shop,1995,1996,1,40,United States,Traditional,Golden Age (85-96),1,6.7,76.0,30.0,"Animation,Comedy,Family",0.670886075949367,0.0,9.800050153197843e-05,0.26837893050512984,0,0,0,0,3,1
Llama Llama,2018,2019,2,25,United States,Flash,Streaming Era (2010+),1,6.4,340.0,24.0,"Adventure,Animation,Family",0.6329113924050632,0.03125,0.00047847303689142414,0.2642216752212481,0,0,0,0,2,1
Lloyd in Space,2001,2004,4,40,United States,Traditional,Modern (97-09),3,6.6,1711.0,30.0,"Adventure,Animation,Comedy",0.6582278481012657,0.09375,0.002454336089837636,0.29671722326296573,0,0,0,0,3,1
Loggerheads,1997,1997,1,16,Germany,Traditional,Modern (97-09),0,8.0,32.0,25.0,"Adventure,Animation,Family",0.8354430379746834,0.0,3.4588412305404155e-05,0.3341858622929498,1,0,0,0,1,0
LoliRock,2014,2014,2,52,France,Flash/Traditional,Streaming Era (2010+),0,7.6,901.0,22.0,"Action,Adventure,Animation",0.7848101265822783,0.03125,0.0012869771745302463,0.3251832949265439,1,0,0,0,1,0
Lizzie McGuire,2001,2003,3,65,United States,Traditional/Live-Action,Modern (97-09),2,6.6,21660.0,30.0,"Comedy,Drama,Family",0.6582278481012657,0.0625,0.03120451263485878,0.29296726739922097,0,0,0,0,2,1
Little Mouse on the Prairie,1996,1996,1,26,Coproduction,Traditional,Golden Age (85-96),0,7.1,53.0,,"Adventure,Animation,Comedy",0.721518987341772,0.0,6.48532730726328e-05,0.28862380825497697,0,0,0,0,5,1
Little Monsters,1998,1999,1,52,Netherlands,Traditional,Modern (97-09),1,8.2,38.0,,"Animation,Family,Fantasy",0.8607594936708859,0.0,4.323551538175519e-05,0.3443146063471998,1,0,0,0,2,1
Liberty's Kids,2002,2003,1,40,United States,Traditional,Modern (97-09),1,7.9,1742.0,30.0,"Adventure,Animation,Family",0.8227848101265822,0.0,0.00249901278906545,0.32973867724789924,1,0,0,0,2,1
Life with Louie,1994,1998,3,39,United States,Traditional,Golden Age (85-96),4,8.3,8820.0,30.0,"Adventure,Animation,Comedy",0.8734177215189872,0.0625,0.01269971205146756,0.3744170166204618,1,0,0,0,3,1
Lilo & Stitch: The Series,2003,2006,2,65,United States,Traditional,Modern (97-09),3,6.8,13228.0,22.0,"Action,Adventure,Animation",0.6835443037974682,0.03125,0.019052450444893454,0.28911833413021065,0,0,0,0,5,1
Lily's Driftwood Bay,2014,2017,2,100,Ireland,Flash,Streaming Era (2010+),3,7.8,93.0,,"Animation,Family",0.8101265822784809,0.03125,0.00012250062691497306,0.3350187580681211,1,0,0,0,3,1
Liquid Television,1991,1994,3,27,United States,Traditional,Golden Age (85-96),3,8.1,1154.0,30.0,"Animation,Comedy,Crime",0.8481012658227846,0.0625,0.0016515966875830484,0.36152840550100956,1,0,0,0,2,1
Little Bear,1995,2003,5,65,Coproduction,Traditional,Golden Age (85-96),8,7.3,5185.0,24.0,"Adventure,Animation,Comedy",0.7468354430379746,0.125,0.0074610087710448875,0.3443494294079511,1,1,0,0,2,1
Little Bill,1999,2004,4,52,United States,Traditional,Modern (97-09),5,6.3,2789.0,30.0,"Animation,Family",0.6202531645569619,0.09375,0.0040079322758887065,0.28191574889175697,0,0,0,0,2,1
Little Charmers,2015,2017,2,57,Canada,CGI,Streaming Era (2010+),2,5.5,193.0,22,"Action,Adventure,Animation",0.5189873417721519,0.03125,0.00026661901152082363,0.21859909146174095,0,0,0,0,2,1
Little Clowns of Happytown,1987,1988,1,18,United States,Traditional,Golden Age (85-96),1,5.2,61.0,,"Adventure,Animation,Comedy",0.4810126582278481,0.0,7.638274384110084e-05,0.19242415897709955,0,0,0,0,4,1
Little Demon,2022,,1,7,United States,Flash,Streaming Era (2010+),1,7.0,5665.0,26,"Animation,Comedy,Horror",0.7088607594936708,0.0,0.008152777017152972,0.28558249805175656,0,0,0,0,2,1
Little Dracula,1991,1999,1,13,United States,Traditional,Golden Age (85-96),8,6.3,182.0,30.0,"Animation,Comedy,Family",0.6202531645569619,0.0,0.0002507659892141801,0.2481639573200883,0,0,0,0,2,1
Little Ellen,2021,,2,20,United States,Flash,Streaming Era (2010+),2,1.8,582.0,11.0,"Adventure,Animation,Comedy",0.050632911392405056,0.03125,0.0008272395276375826,0.03139747443887142,0,0,0,0,2,1
Mega Babies,1999,2001,2,38,Coproduction,Traditional,Modern (97-09),2,2.6,1162.0,30.0,"Adventure,Animation,Comedy",0.1518987341772152,0.03125,0.0016631261583515164,0.07211277521047396,0,0,0,0,2,1
Los Trotamúsicos,1989,1989,1,26,Spain,Traditional,Golden Age (85-96),0,6.1,286.0,30.0,"Adventure,Animation,Comedy",0.5949367088607593,0.0,0.00040064910920426476,0.2380748458216048,0,0,0,0,2,1
Martin Mystery,2003,2006,3,66,Coproduction,Traditional,Modern (97-09),3,7.5,3582.0,22.0,"Action,Adventure,Animation",0.7721518987341771,0.0625,0.0051507910658131015,0.3320234572601241,1,0,0,0,2,1
Marvel Action Universe,1988,1988,1,12,United States,Traditional,Golden Age (85-96),0,6.0,22.0,,Animation,0.5822784810126581,0.0,2.0176573844819093e-05,0.23291643654852445,0,0,0,0,3,1
Marvin the Tap-Dancing Horse,2000,2002,2,26,Coproduction,Flash,Modern (97-09),2,6.4,148.0,30.0,"Adventure,Animation,Family",0.6329113924050632,0.03125,0.0002017657384481909,0.2641524983966373,0,0,0,0,4,1
Mary Shelley's Frankenhole,2010,2012,2,20,United States,Stop Motion,Streaming Era (2010+),2,7.1,1088.0,15.0,"Animation,Comedy,Horror",0.721518987341772,0.03125,0.001556478553743187,0.2999342145751446,0,0,0,0,3,1
Mary-Kate and Ashley in Action!,2001,2002,1,26,United States,Traditional,Modern (97-09),1,4.0,483.0,30.0,"Adventure,Animation,Comedy",0.3291139240506329,0.0,0.0006845623268777905,0.1318167102019726,0,0,0,0,5,1
Maryoku Yummy,2010,2010,1,26,United States,Flash,Streaming Era (2010+),0,8.8,22.0,,"Adventure,Animation,Family",0.9367088607594937,0.0,2.0176573844819093e-05,0.37468858844725866,1,0,0,0,2,1
Masters of the Universe: Revelation,2021,2021,2,10,United States,Traditional,Streaming Era (2010+),0,5.6,29467.0,25.0,"Action,Adventure,Animation",0.5316455696202531,0.03125,0.042455834921037536,0.23420968657836064,0,0,0,0,5,1
Max & Ruby,2002,2019,7,130,Canada,Flash,Modern (97-09),17,6.2,3625.0,30.0,"Animation,Family",0.6075949367088607,0.1875,0.0052127619711936175,0.3099661651763427,0,0,0,0,3,1
Max Steel,2000,2002,3,35,Coproduction,CGI,Modern (97-09),2,6.2,703.0,30.0,"Action,Adventure,Animation",0.6075949367088607,0.0625,0.001001622773010662,0.26516338037679693,0,0,0,0,2,1
Max Steel,2013,2016,2,52,Coproduction,CGI,Streaming Era (2010+),3,6.6,1898.0,23,"Action,Adventure,Animation",0.6582278481012657,0.03125,0.002723837469050577,0.2749095986077689,0,0,0,0,2,1
Maxie's World,1987,1987,1,32,United States,Traditional,Golden Age (85-96),0,6.8,71.0,30.0,Animation,0.6835443037974682,0.0,9.07945823016859e-05,0.2734404201645627,0,0,0,0,2,1
McGee and Me!,1989,1995,1,12,United States,Traditional,Golden Age (85-96),6,7.0,478.0,30.0,"Animation,Drama,Family",0.7088607594936708,0.0,0.000677356407647498,0.28371364289938017,0,0,0,0,3,1
Matt Hatter Chronicles,2011,2015,4,52,Coproduction,CGI,Streaming Era (2010+),4,7.0,430.0,22.0,"Action,Animation,Fantasy",0.7088607594936708,0.09375,0.0006081795830366897,0.3165088486932275,0,0,0,0,3,1
Martha Speaks,2008,2014,6,96,Coproduction,Flash,Modern (97-09),6,6.7,1683.0,28.0,"Animation,Comedy,Family",0.670886075949367,0.15625,0.002413982942147998,0.3236454261152838,1,0,0,0,2,1
Marsupilami,1993,1993,1,13,Coproduction,Traditional,Golden Age (85-96),0,6.1,1671.0,30.0,"Adventure,Animation,Comedy",0.5949367088607593,0.0,0.002396688735995296,0.23857385572830256,0,0,0,0,1,0
Marcus Level,2014,2017,1,52,France,Flash,Streaming Era (2010+),3,7.6,72.0,,"Adventure,Animation,Comedy",0.7848101265822783,0.0,9.223576614774441e-05,0.31394710957444827,0,0,0,0,2,1
M.O.D.O.K.,2021,,1,10,United States,Stop Motion,Streaming Era (2010+),2,6.4,6679.0,22,"Action,Animation,Comedy",0.6329113924050632,0.0,0.009614137437056297,0.2555680913212893,0,0,0,0,1,0
Mad,2010,2013,4,103,United States,"Traditional, Flash, Stop Motion, CGI, Live-action",Streaming Era (2010+),3,6.0,3499.0,12.0,"Animation,Comedy",0.5822784810126581,0.09375,0.0050311728065902455,0.26698168560671076,0,0,0,0,1,0
Mad Jack the Pirate,1998,1999,1,13,United States,Traditional,Modern (97-09),1,8.5,2297.0,30.0,"Adventure,Animation,Comedy",0.8987341772151897,0.0,0.003298869823627921,0.3603183883419828,1,0,0,0,4,1
Madagascar: A Little Wild,2020,2022,8,50,United States,CGI,Streaming Era (2010+),2,5.9,334.0,23.0,"Adventure,Animation,Comedy",0.569620253164557,0.21875,0.00046982593381507306,0.3045280577492766,0,0,0,0,4,1
Mademoiselle Zazie,2013,2013,1,78,France,CGI,Streaming Era (2010+),0,5.6,21.0,7,Animation,0.5316455696202531,0.0,1.8735389998760584e-05,0.21266291169560095,0,0,0,0,2,1
Magi-Nation,2007,2010,2,52,Coproduction,Traditional,Modern (97-09),3,6.6,203.0,22.0,"Action,Adventure,Animation",0.6582278481012657,0.03125,0.0002810308499814087,0.27429889695300164,0,0,0,0,1,0
Magic Adventures of Mumfie,1994,1998,3,79,United Kingdom,Traditional,Golden Age (85-96),4,7.8,196.0,,"Animation,Family,Fantasy",0.8101265822784809,0.0625,0.0002709425630589992,0.34599336855215707,1,0,0,0,4,1
Magical Girl Friendship Squad,2020,,1,6,United States,Flash,Streaming Era (2010+),3,3.4,1516.0,12,"Animation,Comedy,Fantasy",0.2531645569620252,0.0,0.0021733052398562277,0.10180914909477415,0,0,0,1,4,1
Magical Girl Friendship Squad: Origins,2020,,1,6,United States,Flash,Streaming Era (2010+),3,2.2,740.0,,"Animation,Comedy,Fantasy",0.10126582278481014,0.0,0.0010549465753148268,0.040770065757752764,0,0,0,1,5,1
Maisy,1999,2001,1,26,United Kingdom,Traditional,Modern (97-09),2,6.6,310.0,5.0,"Animation,Family",0.6582278481012657,0.0,0.0004352375215096689,0.26339994862088373,0,0,0,0,1,0
Let's Go Luna!,2018,,2,43,Coproduction,Flash,Streaming Era (2010+),5,7.5,259.0,30.0,"Animation,Comedy,Family",0.7721518987341771,0.03125,0.0003617371453606851,0.319888693780011,0,0,0,0,3,1
Mudpit,2011,2013,2,25,Canada,CGI,Streaming Era (2010+),2,4.8,215.0,,"Adventure,Comedy",0.430379746835443,0.03125,0.0002983250561341108,0.18316397999821074,0,0,0,0,1,0
Mummies Alive!,1997,1997,1,42,United States,Traditional,Modern (97-09),0,7.0,1687.0,30.0,"Action,Adventure,Animation",0.7088607594936708,0.0,0.002419747677532232,0.2841492407168514,0,0,0,0,2,1
Peppa Pig,2004,2012,7,329,United Kingdom,Flash,Modern (97-09),8,6.2,8208.0,9.0,"Adventure,Animation,Comedy",0.6075949367088607,0.1875,0.011817707537679753,0.3116174015679642,0,0,1,0,2,1
Pepper Ann,1997,2000,5,65,United States,Traditional,Modern (97-09),3,7.1,4447.0,30.0,"Animation,Comedy,Family",0.721518987341772,0.125,0.006397415092653709,0.33395694870987225,1,0,0,0,2,1
Pet Squad,2011,2011,1,26,Coproduction,Flash,Streaming Era (2010+),0,7.3,38.0,,"Animation,Comedy,Family",0.7468354430379746,0.0,4.323551538175519e-05,0.29874498609403527,0,0,0,1,2,1
Petals,1998,1999,2,55,Australia,Traditional,Modern (97-09),1,8.7,10.0,,"Animation,Family,Fantasy",0.9240506329113921,0.03125,2.8823676921170123e-06,0.3805584737564799,1,0,0,0,1,0
Peter Pan and the Pirates,1990,1991,1,65,United States,Traditional,Golden Age (85-96),1,7.2,778.0,30.0,"Adventure,Animation,Family",0.7341772151898733,0.0,0.00110971156146505,0.2939483139663156,0,0,0,0,5,1
Penny Crayon,1989,1990,1,12,United Kingdom,Traditional,Golden Age (85-96),1,6.8,181.0,10.0,"Adventure,Animation,Drama",0.6835443037974682,0.0,0.00024932480536812157,0.2734800527203293,0,0,0,0,2,1
Phantom 2040,1994,1996,1,35,Coproduction,Traditional,Golden Age (85-96),2,7.2,836.0,30.0,"Action,Animation,Crime",0.7341772151898733,0.0,0.0011933002245364435,0.2939692111320834,0,0,0,0,2,0
Phineas and Ferb,2007,2015,4,222,United States,Traditional,Modern (97-09),8,8.1,67648.0,15.0,"Action,Adventure,Animation",0.8481012658227846,0.09375,0.09748167534739738,0.3964234251659632,1,0,0,0,3,1
Pickle and Peanut,2015,2018,2,42,United States,Flash,Streaming Era (2010+),3,4.6,1921.0,30,"Adventure,Animation,Comedy",0.40506329113924044,0.03125,0.0027569846975099227,0.17365206263007366,0,0,0,0,3,1
Pig City,2002,2002,1,39,Coproduction,Traditional,Modern (97-09),0,7.4,122.0,30.0,Animation,0.7594936708860759,0.0,0.00016429495845066974,0.30383854209404304,0,0,1,0,2,1
Pig Goat Banana Cricket,2015,2018,2,40,United States,Flash,Streaming Era (2010+),3,3.5,1146.0,22,"Animation,Comedy",0.26582278481012656,0.03125,0.0016400672168145804,0.11767663072825428,0,0,1,0,4,1
Pigeon Boy,2002,2002,1,26,France,Traditional,Modern (97-09),0,7.7,37.0,26.0,"Action,Adventure,Animation",0.7974683544303797,0.0,4.179433153569669e-05,0.3189977903550358,0,0,0,0,2,1
Piggsburg Pigs!,1990,1990,1,13,Coproduction,Traditional,Golden Age (85-96),0,6.1,37.0,44.0,Animation,0.5949367088607593,0.0,4.179433153569669e-05,0.23798513212718767,0,0,0,0,2,1
Pikwik Pack,2020,,1,29,United States,Flash,Streaming Era (2010+),3,8.2,86.0,24.0,Animation,0.8607594936708859,0.0,0.0001124123399925635,0.3443319005533525,1,0,0,0,2,1
Phantom Investigators,2002,2002,1,13,United States,Stop Motion,Modern (97-09),0,7.6,53.0,30.0,"Action,Adventure,Animation",0.7848101265822783,0.0,6.48532730726328e-05,0.3139402639511795,0,0,0,0,2,1
Pelswick,2000,2002,2,26,Coproduction,Traditional,Modern (97-09),2,6.8,287.0,30.0,"Animation,Comedy,Family",0.6835443037974682,0.03125,0.00040209029305032323,0.2844557440922499,0,0,0,0,1,0
Pac-Man and the Ghostly Adventures,2013,2015,3,52,Coproduction,CGI,Streaming Era (2010+),2,4.7,1144.0,30.0,"Action,Adventure,Animation",0.4177215189873418,0.0625,0.0016371848491224634,0.18937290380721733,0,0,0,0,5,1
Packages from Planet X,2013,2014,1,52,Coproduction,Flash,Streaming Era (2010+),1,6.4,142.0,22.0,"Action,Adventure,Animation",0.6329113924050632,0.0,0.00019311863537183985,0.25321283662086824,0,0,0,0,4,1
Paddington Bear,1989,1990,1,13,Coproduction,Traditional,Golden Age (85-96),1,7.2,167.0,30.0,Animation,0.7341772151898733,0.0,0.00022914823152330252,0.29372817313383015,0,1,0,0,2,1
Pakdam Pakdai,2013,,6,535,India,Flash,Streaming Era (2010+),10,6.3,173.0,11.0,"Animation,Comedy,Family",0.6202531645569619,0.15625,0.00023779533459965358,0.3028482146564347,0,0,0,0,2,1
Pantheon,2022,,1,8,United States,Traditional,Streaming Era (2010+),1,8.5,21873.0,41,"Action,Adventure,Animation",0.8987341772151897,0.0,0.03151148479406924,0.36737154208459316,1,0,0,0,1,0
PAW Patrol,2013,,7,182,Coproduction,CGI,Streaming Era (2010+),10,6.1,7875.0,23.0,"Adventure,Animation,Comedy",0.5949367088607593,0.1875,0.01133779331694227,0.3064341318735393,0,0,0,1,2,1
