title,runtimeMinutes,is_successful,averageRating,technique,era,country
Night Sweats,22.0,0,6.5,Traditional,Streaming Era (2010+),Canada
Nina's World,22.0,0,6.6,Flash,Streaming Era (2010+),Coproduction
Noah's Island,25.0,1,7.3,Traditional,Modern (97-09),United Kingdom
Noddy,30.0,0,5.6,"Stop-Motion, Live-Action",Modern (97-09),Coproduction
Nightmare Ned,30.0,0,7.1,Traditional,Modern (97-09),United States
Nature Cat,24.0,1,7.3,Flash,Streaming Era (2010+),Coproduction
NASCAR Racers,30.0,0,6.3,Traditional,Modern (97-09),Coproduction
Muppet Babies,23.0,0,6.5,CGI,Streaming Era (2010+),United States
Mutant League,30.0,0,7.5,Traditional,Golden Age (85-96),United States
My Gym Partner's a Monkey,22.0,0,5.8,Traditional,Modern (97-09),United States
My Life Me,22.0,0,4.4,Flash,Streaming Era (2010+),Coproduction
My Little Pony Tales,30.0,0,6.4,Traditional,Golden Age (85-96),United States
My Little Pony: Friendship Is Magic,22.0,1,7.8,Flash,Streaming Era (2010+),Coproduction
My Little Pony: Make Your Mark,44.0,0,5.9,CGI,Streaming Era (2010+),United States
My Little Pony: Pony Life,11.0,0,5.0,Flash,Streaming Era (2010+),Coproduction
My Little Pony: Tell Your Tale,5.0,0,5.2,Flash,Streaming Era (2010+),United States
My Pet Monster,30.0,0,6.8,Traditional,Golden Age (85-96),Canada
Noddy's Toyland Adventures,10.0,0,6.1,Stop-motion,Golden Age (85-96),United Kingdom
Numb Chucks,22.0,0,5.0,Flash,Streaming Era (2010+),Canada
Om Nom Stories,3.0,1,6.0,"Flash, Live-Action (seasons 1–2)",Streaming Era (2010+),Coproduction
Once Upon a Time... Life,30.0,1,8.2,Traditional,Golden Age (85-96),France
Once Upon a Time... The Americas,30.0,0,7.3,Traditional,Golden Age (85-96),France
Once Upon a Time... The Discoverers,30.0,0,7.6,Traditional,Golden Age (85-96),France
Once Upon a Time... The Explorers,30.0,0,7.5,Traditional,Golden Age (85-96),France
Olliver's Adventures,22.0,0,6.3,Flash,Modern (97-09),Canada
Oswald,30.0,0,7.6,Traditional,Modern (97-09),Coproduction
Our Cartoon President,30.0,0,5.5,Flash,Streaming Era (2010+),United States
Out of Jimmy's Head,30.0,0,2.4,Flash/Live-Action,Modern (97-09),United States
Ovide and the Gang,30.0,0,7.1,Traditional,Golden Age (85-96),Canada
Ollie's Pack,22.0,0,6.0,Traditional,Streaming Era (2010+),Canada
Old Bear Stories,10.0,1,8.4,Traditional,Golden Age (85-96),United Kingdom
Octonauts: Above & Beyond,25.0,0,7.2,CGI,Streaming Era (2010+),Coproduction
Odo,7.0,1,7.8,Flash,Streaming Era (2010+),United States
Off the Air,11.0,1,8.4,"Traditional, Flash, CGI, Live-action, Stop Motion",Streaming Era (2010+),United States
Oh No! It's an Alien Invasion,11.0,0,2.7,CGI,Streaming Era (2010+),Canada
Leo the Wildlife Ranger,22.0,1,8.3,CGI,Streaming Era (2010+),Singapore
Lego Star Wars: The Yoda Chronicles,25.0,0,7.0,CGI,Streaming Era (2010+),Denmark
Gabby's Dollhouse,24.0,1,7.1,CGI/Live-Action,Streaming Era (2010+),United States
Futurama,22.0,1,8.5,Traditional,Modern (97-09),United States
Garfield and Friends,30.0,1,7.2,Traditional,Golden Age (85-96),United States
Gary & Mike,22.0,0,7.5,Stop Motion,Modern (97-09),United States
Gawayn,13.0,0,6.5,Flash,Modern (97-09),France
Generation O!,26.0,0,6.6,Traditional,Modern (97-09),United States
Gargoyles,30.0,1,8.0,Traditional,Golden Age (85-96),United States
Funpak,23.0,0,6.7,"Flash, CGI, Stop-motion, Traditional",Modern (97-09),Canada
Franklin,23.0,0,6.5,Traditional,Modern (97-09),Canada
Freakazoid!,30.0,1,7.5,Traditional,Golden Age (85-96),United States
Freaky Stories,22.0,1,7.5,Traditional,Modern (97-09),Canada
Fred the Caveman,7.0,0,6.8,Traditional,Modern (97-09),Coproduction
Fresh Beat Band of Spies,21.0,0,7.1,Flash,Streaming Era (2010+),Coproduction
Fudêncio e Seus Amigos,15.0,1,7.5,Flash,Modern (97-09),Brazil
Generator Rex,24.0,1,7.6,Traditional,Streaming Era (2010+),United States
George and Martha,30.0,0,7.1,Traditional,Modern (97-09),Coproduction
George Shrinks,30.0,0,6.6,Traditional,Modern (97-09),Coproduction
Gravity Falls,23.0,1,8.9,Traditional,Streaming Era (2010+),United States
Green Eggs and Ham,26.0,1,8.1,Traditional,Streaming Era (2010+),United States
Grim & Evil,22.0,1,7.4,Traditional,Modern (97-09),United States
Grizzly Tales for Gruesome Kids,23.0,1,7.4,"Traditional, Claymation, Flash",Modern (97-09),United Kingdom
Gravedale High,30.0,0,6.5,Traditional,Golden Age (85-96),United States
Gummibär & Friends: The Gummy Bear Show,8.0,0,2.4,CGI,Streaming Era (2010+),Germany
H2O: Mermaid Adventures,25.0,0,5.3,Traditional,Streaming Era (2010+),Coproduction
Zootopia+,8.0,0,6.8,CGI,Streaming Era (2010+),United States
Gordon the Garden Gnome,11.0,1,8.0,Traditional,Modern (97-09),Coproduction
Goof Troop,22.0,0,6.8,Traditional,Golden Age (85-96),United States
