title,runtimeMinutes,is_successful,averageRating,technique,era,country
The Buzz on Maggie,30.0,0,5.7,Flash,Modern (97-09),United States
The California Raisin Show,30.0,0,6.2,Traditional,Golden Age (85-96),United States
The Avengers: United They Stand,30.0,0,5.3,Traditional,Modern (97-09),United States
Tarzan and Jane,22.0,0,4.9,CGI,Streaming Era (2010+),Coproduction
Station Zero,30.0,0,6.6,Traditional,Modern (97-09),United States
Steven Universe,11.0,1,8.1,Traditional,Streaming Era (2010+),United States
Stickin' Around,22.0,0,7.1,Traditional,Golden Age (85-96),Canada
Stillwater,25.0,1,8.3,CGI,Streaming Era (2010+),Coproduction
Stitch & Ai,23.0,0,6.2,"Traditional (3 episodes), Flash(?)",Streaming Era (2010+),China
Street Sharks,22.0,0,6.2,Traditional,Golden Age (85-96),United States
Stressed Eric,30.0,0,7.4,Traditional,Modern (97-09),United Kingdom
Stoppit and Tidyup,5.0,0,7.5,Traditional,Golden Age (85-96),United Kingdom
Static Shock,30.0,1,7.4,Traditional,Modern (97-09),United States
Stargate Infinity,30.0,0,3.6,Traditional,Modern (97-09),United States
Spliced,22.0,0,6.8,Flash,Modern (97-09),Canada
SpongeBob SquarePants,23.0,1,8.2,Traditional,Modern (97-09),United States
Squidbillies,11.0,1,6.6,Traditional,Modern (97-09),United States
Stanley,30.0,0,6.5,Traditional,Modern (97-09),United States
Star Trek: Lower Decks,25.0,1,7.8,Traditional,Streaming Era (2010+),United States
Star Trek: Prodigy,24.0,0,7.6,CGI,Streaming Era (2010+),United States
Star Wars: The Bad Batch,30.0,1,7.8,CGI,Streaming Era (2010+),United States
Student Bodies,30.0,0,7.1,Traditional,Modern (97-09),Canada
Swamp Thing,30.0,0,6.3,Traditional,Golden Age (85-96),United States
SWAT Kats: The Radical Squadron,22.0,1,8.4,Traditional,Golden Age (85-96),United States
Sylvanian Families,25.0,1,7.9,Traditional,Golden Age (85-96),United States
T.U.F.F. Puppy,24.0,0,5.6,Traditional,Streaming Era (2010+),United States
Take Two with Phineas and Ferb,2.0,0,6.1,Traditional,Streaming Era (2010+),United States
Tales from the Cryptkeeper,30.0,1,7.5,Traditional,Golden Age (85-96),Coproduction
TaleSpin,30.0,0,7.5,Traditional,Golden Age (85-96),United States
Talking Tom Heroes,22.0,0,6.7,Flash,Streaming Era (2010+),Coproduction
Supernatural Academy,23.0,0,6.9,CGI,Streaming Era (2010+),United States
The Dragon Prince,26.0,1,8.2,Flash,Streaming Era (2010+),United States
SuperMansion,30.0,1,7.6,Stop Motion,Streaming Era (2010+),United States
Superman,30.0,0,7.0,Traditional,Golden Age (85-96),United States
Subway Surfers: The Animated Series,17.0,0,7.0,Flash,Streaming Era (2010+),United States
Summer Camp Island,11.0,1,7.8,Traditional,Streaming Era (2010+),United States
Sunny Bunnies,4.0,0,6.0,CGI,Streaming Era (2010+),Belarus
Super Dave: Daredevil for Hire,30.0,0,6.6,Traditional,Golden Age (85-96),United States
Super Drags,24.0,0,5.5,Traditional,Streaming Era (2010+),Brazil
Super Giant Robot Brothers,26.0,0,6.6,CGI,Streaming Era (2010+),United States
Super Mario World,30.0,0,6.5,Traditional,Golden Age (85-96),Coproduction
Super Wings,15.0,0,5.9,CGI,Streaming Era (2010+),Coproduction
Super Wish,22.0,1,8.5,Flash,Streaming Era (2010+),Canada
Superman: The Animated Series,30.0,1,8.1,Traditional,Golden Age (85-96),United States
Dreamkix,22.0,1,8.1,CGI,Streaming Era (2010+),South Korea
Hammerman,30.0,0,4.0,Traditional,Golden Age (85-96),Coproduction
Dragons: The Nine Realms,23.0,0,5.3,CGI,Streaming Era (2010+),United States
Ace Ventura: Pet Detective,30.0,0,5.6,Traditional,Golden Age (85-96),Coproduction
Action Dad,22.0,0,7.5,Flash,Streaming Era (2010+),Coproduction
Action Man,30.0,0,5.9,"Traditional, Live-Action",Golden Age (85-96),United Kingdom
Action Man,30.0,0,6.3,CGI,Modern (97-09),Canada
Action Pack,29.0,0,5.0,CGI,Streaming Era (2010+),Coproduction
"Ada Twist, Scientist",12.0,0,5.5,CGI,Streaming Era (2010+),United States
Adventure Beast,20.0,0,5.4,Flash,Streaming Era (2010+),United States
Adventure Time,23.0,1,8.7,Traditional,Streaming Era (2010+),United States
Adventures from the Book of Virtues,30.0,0,7.1,Traditional,Golden Age (85-96),United States
Adventures of Sonic the Hedgehog,30.0,0,6.3,Traditional,Golden Age (85-96),United States
Æon Flux,30.0,1,7.8,Traditional,Golden Age (85-96),United States
Aaahh!!! Real Monsters,30.0,1,7.2,Traditional,Golden Age (85-96),United States
A Tale Dark & Grimm,26.0,0,7.2,CGI,Streaming Era (2010+),United States
A Pup Named Scooby-Doo,30.0,0,6.8,Traditional,Golden Age (85-96),United States
¡Mucha Lucha!,22.0,0,5.8,Flash,Modern (97-09),United States
100% Wolf: Legend of the Moonstone,22.0,0,5.3,CGI,Streaming Era (2010+),Australia
101 Dalmatians: The Series,30.0,0,6.1,Traditional,Modern (97-09),United States
12 oz. Mouse,15.0,0,6.6,Flash,Modern (97-09),United States
2 Stupid Dogs,22.0,0,7.1,Traditional,Golden Age (85-96),United States
3 Amigonauts,22.0,0,6.3,Flash,Streaming Era (2010+),Canada
3-2-1 Penguins!,30.0,0,6.6,CGI,Modern (97-09),Coproduction
3000 Whys of Blue Cat,13.0,0,6.8,Traditional,Modern (97-09),China
3rd & Bird,10.0,1,7.7,Flash,Modern (97-09),Coproduction
44 Cats,13.0,0,5.8,CGI,Streaming Era (2010+),Italy
64 Zoo Lane,11.0,0,6.4,Traditional,Modern (97-09),Coproduction
A Bunch of Munsch,30.0,0,7.4,Traditional,Golden Age (85-96),Canada
A Miss Mallard Mystery,22.0,1,8.0,Traditional,Modern (97-09),Coproduction
3Below: Tales of Arcadia,24.0,1,7.6,CGI,Streaming Era (2010+),United States
Alejo & Valentina,30.0,1,7.7,Flash,Modern (97-09),Argentina
Amphibia,23.0,1,8.3,Traditional,Streaming Era (2010+),United States
Anatole,30.0,0,7.4,Traditional,Modern (97-09),Canada
Angela Anaconda,30.0,0,4.6,Stop Motion,Modern (97-09),Coproduction
Angelina Ballerina,23.0,0,5.6,Traditional,Modern (97-09),United Kingdom
Angelmouse,5.0,0,7.3,Traditional,Modern (97-09),United Kingdom
Angry Birds Blues,2.0,0,6.5,CGI,Streaming Era (2010+),Finland
Angry Birds Toons,3.0,0,6.4,Flash/Traditional,Streaming Era (2010+),Finland
Angry Birds: Summer Madness,11.0,0,5.7,Flash,Streaming Era (2010+),Coproduction
Angry Kid,1.0,0,7.0,Stop Motion,Modern (97-09),United Kingdom
Animal Crackers,23.0,1,7.3,Traditional,Modern (97-09),Coproduction
Animaniacs,21.0,1,7.8,Traditional,Golden Age (85-96),United States
Animism,30.0,0,5.3,Traditional,Streaming Era (2010+),Canada
American Dragon: Jake Long,30.0,0,6.6,Traditional,Modern (97-09),United States
American Dad!,22.0,1,7.4,"Traditional (seasons 1–3), Flash (season 4-present)",Modern (97-09),United States
ALVINNN!!! and the Chipmunks,11.0,0,4.7,CGI,Streaming Era (2010+),Coproduction
ALF Tales,30.0,0,6.3,Traditional,Golden Age (85-96),United States
Alfred J. Kwak,25.0,1,7.8,Traditional,Golden Age (85-96),Coproduction
Alice's Wonderland Bakery,22.0,0,6.1,CGI,Streaming Era (2010+),United States
Alien Racers,30.0,0,7.2,CGI,Modern (97-09),Coproduction
Alienators: Evolution Continues,30.0,0,5.6,Traditional,Modern (97-09),United States
All Dogs Go to Heaven: The Series,22.0,0,6.5,Traditional,Golden Age (85-96),United States
Alma's Way,22.0,0,7.6,Traditional,Streaming Era (2010+),Coproduction
Almost Naked Animals,22.0,0,3.2,Flash,Streaming Era (2010+),Canada
Alphablocks,5.0,1,7.8,CGI,Streaming Era (2010+),United Kingdom
All Grown Up!,30.0,0,5.5,Traditional,Modern (97-09),United States
Drawn Together,22.0,0,7.1,Traditional,Modern (97-09),United States
Zou,11.0,0,7.2,CGI,Streaming Era (2010+),France
Braceface,30.0,0,6.4,Traditional,Modern (97-09),Coproduction
Devil May Care,12.0,0,6.2,Flash,Streaming Era (2010+),United States
Budgie the Little Helicopter,11.0,0,5.7,Traditional,Golden Age (85-96),United Kingdom
Buddi,12.0,0,6.9,CGI,Streaming Era (2010+),United States
Dexter's Laboratory,23.0,1,7.8,Traditional,Golden Age (85-96),United States
Bruno the Kid,22.0,0,6.4,Traditional,Golden Age (85-96),United States
Bromwell High,30.0,0,6.9,Flash,Modern (97-09),Coproduction
Bugs Bunny Builders,11.0,0,6.5,Traditional,Streaming Era (2010+),United States
BraveStarr,30.0,0,7.1,Traditional,Golden Age (85-96),United States
Dick Figures,2.0,1,7.7,Flash,Streaming Era (2010+),United States
Dicktown,23.0,0,6.9,Traditional/Flash,Streaming Era (2010+),United States
Bratz,21.0,0,4.3,CGI,Modern (97-09),United States
Brandy & Mr. Whiskers,30.0,0,6.4,Flash,Modern (97-09),United States
Brady's Beasts,30.0,0,6.3,Traditional,Modern (97-09),Canada
Crash Canyon,22.0,0,4.4,Flash,Streaming Era (2010+),Canada
Dilbert,30.0,0,7.3,Traditional,Modern (97-09),United States
Boy Girl Dog Cat Mouse Cheese,11.0,0,6.2,Flash,Streaming Era (2010+),Coproduction
Bounty Hunters,30.0,0,2.2,Traditional,Streaming Era (2010+),Coproduction
Boris and Rufus,11.0,1,8.5,Flash,Streaming Era (2010+),Brazil
Brave Bunnies,7.0,0,7.6,Flash,Streaming Era (2010+),United Kingdom
Bordertown,60.0,0,7.6,Flash,Streaming Era (2010+),United States
Detention,30.0,0,7.1,Traditional,Modern (97-09),United States
Capitol Critters,30.0,0,6.4,Traditional,Golden Age (85-96),United States
Deepa & Anoop,25.0,1,7.9,CGI,Streaming Era (2010+),United States
Delfy and His Friends,23.0,0,4.2,Traditional,Golden Age (85-96),Spain
Camp Lakebottom,22.0,0,5.4,Flash,Streaming Era (2010+),Canada
Camp Candy,30.0,0,6.8,Traditional,Golden Age (85-96),United States
Caillou,30.0,0,3.9,"Traditional, Flash",Modern (97-09),Canada
Cadillacs and Dinosaurs,30.0,0,7.1,Traditional,Golden Age (85-96),Coproduction
Detentionaire,22.0,1,8.0,Flash,Streaming Era (2010+),Canada
C.O.P.S.,30.0,0,7.0,Traditional,Golden Age (85-96),United States
Buzz Lightyear of Star Command,30.0,0,6.7,Traditional,Modern (97-09),United States
Butterbean's Café,22.0,0,6.6,CGI,Streaming Era (2010+),Coproduction
"Denver, the Last Dinosaur",30.0,0,6.4,Traditional,Golden Age (85-96),United States
Bureau of Alien Detectors,20.0,0,7.6,Traditional,Golden Age (85-96),United States
Bunsen Is a Beast,22.0,0,4.0,Flash,Streaming Era (2010+),United States
Bunnicula,11.0,0,7.2,Flash,Streaming Era (2010+),United States
Bump in the Night,25.0,1,7.9,Live-Action/Stop-Motion,Golden Age (85-96),United States
Descendants: Wicked World,2.0,0,6.3,CGI,Streaming Era (2010+),United States
Bump,5.0,1,7.8,Traditional,Golden Age (85-96),United Kingdom
C.L.Y.D.E.,25.0,0,6.8,Traditional,Golden Age (85-96),Canada
Bless the Harts,30.0,0,5.9,Traditional,Streaming Era (2010+),United States
Blazing Dragons,23.0,1,7.6,Traditional,Golden Age (85-96),Coproduction
Blaster's Universe,30.0,0,7.3,Traditional,Modern (97-09),Coproduction
Birdz,21.0,0,6.9,Traditional,Modern (97-09),Canada
"Do, Re & Mi",30.0,0,7.1,CGI,Streaming Era (2010+),United States
Bionic Six,22.0,0,7.3,Traditional,Golden Age (85-96),United States
Binka,5.0,0,6.0,Traditional,Modern (97-09),United Kingdom
Bimble's Bucket,10.0,1,8.2,Traditional,Golden Age (85-96),United Kingdom
Dog City,23.0,0,7.2,Traditional,Golden Age (85-96),Coproduction
Billy the Cat,30.0,0,6.7,Traditional,Golden Age (85-96),Coproduction
Billy,10.0,1,8.2,Traditional,Modern (97-09),France
Dogs in Space,18.0,0,7.2,Traditional,Streaming Era (2010+),United States
Donald's Quack Attack,22.0,1,7.9,Traditional,Golden Age (85-96),United States
Donkey Kong Country,137.0,0,5.4,CGI,Modern (97-09),Coproduction
Bill & Ted's Excellent Adventures,30.0,0,6.4,Traditional,Golden Age (85-96),United States
Dofus: The Treasures of Kerubim,13.0,1,7.8,Flash,Streaming Era (2010+),France
"Dink, the Little Dinosaur",30.0,0,7.1,Traditional,Golden Age (85-96),United States
Block 13,10.0,0,4.3,Traditional,Modern (97-09),Kuwait
Blue's Clues,25.0,1,6.9,"Traditional, Live-Action",Golden Age (85-96),Coproduction
Dino Babies,16.0,0,7.1,Traditional,Golden Age (85-96),United States
Dino Ranch,22.0,0,5.3,CGI,Streaming Era (2010+),United States
Dino-Riders,22.0,0,7.1,Traditional,Golden Age (85-96),United States
Dinosaucers,30.0,0,6.4,Traditional,Golden Age (85-96),United States
Bonkers,27.0,0,6.7,Traditional,Golden Age (85-96),United States
BoBoiBoy Galaxy,23.0,1,7.9,CGI,Streaming Era (2010+),Malaysia
BoBoiBoy,22.0,0,7.2,CGI,Streaming Era (2010+),Malaysia
Blood of Zeus,30.0,0,7.5,Traditional,Streaming Era (2010+),United States
Bobobobs,23.0,0,6.8,Traditional,Golden Age (85-96),Spain
Dinotrux,23.0,1,6.7,CGI,Streaming Era (2010+),Coproduction
Bobby's World,30.0,1,7.2,Traditional,Golden Age (85-96),United States
Bob's Burgers,22.0,1,8.2,Flash (season 1)/Traditional (other seasons),Streaming Era (2010+),United States
Disenchantment,30.0,1,7.2,Traditional,Streaming Era (2010+),United States
Dive Olly Dive!,11.0,0,5.3,CGI,Modern (97-09),Australia
Bluey,7.0,1,9.3,Flash,Streaming Era (2010+),Australia
Captain Flinn and the Pirate Dinosaurs,11.0,0,6.9,Flash,Streaming Era (2010+),Australia
Captain N: The Game Master,25.0,0,6.3,Traditional,Golden Age (85-96),United States
Captain Planet and the Planeteers,23.0,1,6.7,Traditional,Golden Age (85-96),United States
Crossing Swords,22.0,0,6.7,Stop Motion,Streaming Era (2010+),United States
Cubix: Robots for Everyone,24.0,0,6.0,CGI,Modern (97-09),South Korea
Close Enough,23.0,1,7.8,Traditional,Streaming Era (2010+),United States
Cupcake & Dino: General Services,23.0,0,7.5,Traditional,Streaming Era (2010+),Coproduction
Clone High,30.0,1,8.1,Traditional,Modern (97-09),Coproduction
Cyberchase,30.0,1,6.9,"Traditional (Season 1–5), Flash (Season 6–present)",Modern (97-09),Coproduction
Cybersix,30.0,0,7.6,Traditional,Modern (97-09),Coproduction
Clifford the Big Red Dog,30.0,0,6.5,Traditional,Modern (97-09),Coproduction
Cloudy with a Chance of Meatballs,30.0,0,3.6,Flash,Streaming Era (2010+),Coproduction
Clifford the Big Red Dog,30.0,0,7.0,Traditional,Golden Age (85-96),Canada
Cleo & Cuquin,7.0,0,7.0,CGI,Streaming Era (2010+),Spain Mexico
Class of 3000,30.0,0,6.5,Flash,Modern (97-09),United States
City of Ghosts,20.0,0,7.6,CGI,Streaming Era (2010+),Coproduction
Circle Square,7.0,0,7.0,Flash,Streaming Era (2010+),Coproduction
Da Jammies,22.0,0,7.5,CGI,Streaming Era (2010+),Coproduction
Crashbox,25.0,1,8.7,"Traditional, CGI, Live-Action, Stop Motion",Modern (97-09),Coproduction
Cow and Chicken,30.0,0,6.5,Traditional,Modern (97-09),United States
Courage the Cowardly Dog,11.0,1,8.3,Traditional,Modern (97-09),United States
Counterfeit Cat,21.0,0,6.8,Flash,Streaming Era (2010+),Coproduction
Count Duckula,22.0,1,7.4,Traditional,Golden Age (85-96),Coproduction
Creature Comforts,10.0,1,7.9,Stop Motion,Modern (97-09),United Kingdom
Cococinel,4.0,0,7.7,Traditional,Golden Age (85-96),France
Conan the Adventurer,25.0,0,7.3,Traditional,Golden Age (85-96),Coproduction
Conan and the Young Warriors,25.0,0,7.1,Traditional,Golden Age (85-96),United States
Creepy Crawlers,21.0,0,6.6,Traditional,Golden Age (85-96),Coproduction
Committed,30.0,0,5.8,Traditional,Modern (97-09),Canada
Creepy Crawlies,10.0,0,7.3,Traditional,Golden Age (85-96),United Kingdom
Colourblocks,5.0,1,8.4,CGI,Streaming Era (2010+),United Kingdom
Codename: Kids Next Door,23.0,1,7.2,Traditional,Modern (97-09),United States
Cro,30.0,1,8.4,Traditional,Golden Age (85-96),United States
Code Lyoko,26.0,1,7.3,CGI/Traditional,Modern (97-09),France
Corduroy,30.0,0,7.5,Traditional,Modern (97-09),Coproduction
Chucklewood Critters,30.0,1,7.6,Traditional,Modern (97-09),United States
Casper's Scare School,11.0,0,4.5,CGI,Modern (97-09),Coproduction
Cartoon Sushi,30.0,0,7.3,Traditional,Modern (97-09),Coproduction
Daria,30.0,1,8.1,Traditional,Modern (97-09),United States
Dark Oracle,30.0,0,7.4,Traditional,Modern (97-09),Canada
Darkwing Duck,30.0,1,7.6,Traditional,Golden Age (85-96),United States
Dave the Barbarian,30.0,0,7.0,Traditional,Modern (97-09),United States
Dawn of the Croods,23.0,0,5.9,Traditional (Flash for the first few episodes),Streaming Era (2010+),United States
DC Super Hero Girls,3.0,0,6.3,Flash,Streaming Era (2010+),United States
Catch! Teenieping,13.0,0,5.0,CGI,Streaming Era (2010+),South Korea
Carland Cross,26.0,1,8.3,Traditional,Golden Age (85-96),Coproduction
Carl²,22.0,0,6.3,Flash,Modern (97-09),Canada
DC Super Hero Girls,11.0,0,7.3,Flash,Streaming Era (2010+),United States
Dead End: Paranormal Park,27.0,0,6.0,Traditional,Streaming Era (2010+),United States
Care Bears: Unlock the Magic,11.0,0,6.5,Flash,Streaming Era (2010+),United States
Care Bears: Adventures in Care-a-lot,30.0,0,5.8,"Flash (theme song), Traditional (episodes)",Modern (97-09),United States
Deathstroke: Knights & Dragons,92.0,0,6.6,Traditional,Streaming Era (2010+),United States
Captain Zed and the Zee Zone,22.0,0,7.6,Traditional,Golden Age (85-96),United Kingdom
Captain Star,30.0,1,7.7,Traditional,Modern (97-09),Coproduction
Captain Simian & the Space Monkeys,22.0,0,7.5,Traditional,Golden Age (85-96),United States
Carmen Sandiego,22.0,1,7.9,Flash,Streaming Era (2010+),Coproduction
CatDog,23.0,0,6.5,Traditional,Modern (97-09),United States
Catscratch,23.0,0,6.6,Traditional,Modern (97-09),United States
Chris Colorado,26.0,1,8.3,Traditional,Modern (97-09),France
Chowder,11.0,1,7.3,Traditional,Modern (97-09),United States
Chip and Potato,23.0,0,6.0,Flash,Streaming Era (2010+),Coproduction
Chip 'n' Dale: Park Life,23.0,0,6.2,Flash,Streaming Era (2010+),Coproduction
Chicago Party Aunt,30.0,0,5.7,Flash,Streaming Era (2010+),United States
Chibiverse,22.0,0,5.4,Traditional,Streaming Era (2010+),United States
Dance-A-Lot Robot,3.0,1,8.8,CGI/Live-action,Streaming Era (2010+),United States
Charlie Chalk,15.0,0,7.2,Stop Motion,Golden Age (85-96),United Kingdom
Charlie and Lola,22.0,0,6.6,Flash,Modern (97-09),United Kingdom
Chaplin & Co,7.0,0,5.7,CGI,Streaming Era (2010+),Coproduction
Chaotic,30.0,0,6.7,Flash,Modern (97-09),Coproduction
Channel Umptee-3,30.0,0,6.3,Traditional,Modern (97-09),United States
Central Park,25.0,0,6.9,Flash,Streaming Era (2010+),United States
Centaurworld,25.0,1,7.7,Traditional,Streaming Era (2010+),United States
Celebrity Deathmatch,25.0,1,6.9,Stop Motion,Modern (97-09),Coproduction
Cédric,13.0,1,7.6,Traditional,Modern (97-09),France
Biker Mice from Mars,30.0,0,7.0,Traditional,Golden Age (85-96),United States
Crapston Villas,10.0,0,7.2,Stop Motion,Golden Age (85-96),United Kingdom
BB3B,20.0,0,6.3,Traditional,Modern (97-09),United Kingdom
Doug Unplugs,23.0,0,7.1,CGI,Streaming Era (2010+),United States
Astro Farm,10.0,1,7.5,Stop Motion,Golden Age (85-96),United Kingdom
Arcane,40.0,1,9.0,CGI,Streaming Era (2010+),United States
Aqua Teen Hunger Force,15.0,1,7.7,Flash/Traditional,Modern (97-09),United States
Battle Kitty,30.0,0,6.3,CGI,Streaming Era (2010+),United States
Battle for Dream Island,20.0,1,8.6,Flash,Streaming Era (2010+),United States
Batman: The Brave and the Bold,30.0,1,7.4,Traditional,Modern (97-09),United States
Batman: The Animated Series,23.0,1,9.0,Traditional,Golden Age (85-96),United States
Batman Beyond,23.0,1,8.1,Traditional,Modern (97-09),United States
Best Bugs Forever,11.0,0,7.6,Traditional/Flash,Streaming Era (2010+),France
Bat Pat,15.0,0,7.3,Traditional,Streaming Era (2010+),Coproduction
Atomic Betty,30.0,0,5.4,Flash,Modern (97-09),Coproduction
Atomic Puppet,22.0,0,5.7,Flash,Streaming Era (2010+),Coproduction
Barnyard Commandos,30.0,0,7.5,Traditional,Golden Age (85-96),United States
Barney,5.0,0,6.9,Traditional,Golden Age (85-96),United Kingdom
Apollo Gauntlet,11.0,0,6.6,Traditional,Streaming Era (2010+),United States
Ask the StoryBots,24.0,1,8.5,CGI/Flash,Streaming Era (2010+),United States
"Be Cool, Scooby-Doo!",23.0,0,6.7,Traditional,Streaming Era (2010+),United States
Dragon Flyz,21.0,0,7.1,Traditional,Golden Age (85-96),Coproduction
Beethoven,25.0,0,5.3,Traditional,Golden Age (85-96),United States
Beetlejuice,22.0,1,7.3,Traditional,Golden Age (85-96),United States
Arthur,30.0,1,7.4,"Traditional, later Flash",Golden Age (85-96),Coproduction
Bee and PuppyCat,7.0,1,8.1,Traditional,Streaming Era (2010+),United States
Dot.,11.0,1,7.6,Flash,Streaming Era (2010+),Coproduction
Dragon Booster,30.0,1,7.4,CGI,Modern (97-09),Canada
Ben 10: Alien Force,22.0,1,7.6,Traditional,Modern (97-09),United States
Beavis and Butt-head,15.0,1,7.5,Traditional,Golden Age (85-96),United States
Beat Bugs,24.0,1,7.5,CGI,Streaming Era (2010+),Coproduction
Attack of the Killer Tomatoes,23.0,0,6.1,Traditional,Golden Age (85-96),United States
Argai: The Prophecy,24.0,1,8.0,Traditional,Modern (97-09),France
Beast Wars: Transformers,30.0,1,8.1,CGI,Golden Age (85-96),Coproduction
Dota: Dragon's Blood,25.0,1,7.7,Traditional,Streaming Era (2010+),United States
Archie's Weird Mysteries,30.0,0,7.3,Traditional,Modern (97-09),Coproduction
Double Dragon,30.0,0,6.3,Traditional,Golden Age (85-96),United States
Ben 10: Omniverse,22.0,1,6.7,Traditional,Streaming Era (2010+),United States
Ben 10: Ultimate Alien,22.0,1,7.8,Traditional,Streaming Era (2010+),United States
Doug,30.0,1,7.4,Traditional,Golden Age (85-96),Coproduction
Dora the Explorer,30.0,0,4.4,Traditional,Modern (97-09),United States
Archibald's Next Big Thing,24.0,0,7.5,Flash,Streaming Era (2010+),United States
Beast Machines: Transformers,30.0,0,6.7,CGI,Modern (97-09),Coproduction
As Told by Ginger,30.0,0,6.9,Traditional,Modern (97-09),United States
Beverly Hills Teens,30.0,0,6.6,Traditional,Golden Age (85-96),United States
Big Hero 6: The Series,21.0,0,7.2,Traditional,Streaming Era (2010+),United States
Anthony Ant,30.0,0,7.4,Traditional,Modern (97-09),United States
Ba Da Bean,11.0,1,8.2,Flash,Streaming Era (2010+),Brazil
Big Guy and Rusty the Boy Robot,30.0,1,7.6,Traditional,Modern (97-09),United States
Big Blue,11.0,1,8.2,Flash,Streaming Era (2010+),Canada
Beware the Batman,22.0,0,7.3,CGI,Streaming Era (2010+),United States
Baby Jake,11.0,0,5.2,Flash,Streaming Era (2010+),United Kingdom
Balloon Barnyard,7.0,1,7.8,CGI,Streaming Era (2010+),Australia
Babar and the Adventures of Badou,11.0,0,6.0,CGI,Streaming Era (2010+),Coproduction
Big Nate,22.0,0,6.6,CGI,Streaming Era (2010+),United States
Avatar: The Last Airbender,23.0,1,9.3,Traditional,Modern (97-09),United States
Babar,30.0,0,6.5,Traditional,Golden Age (85-96),Canada
Big Mouth,30.0,1,7.8,Traditional,Streaming Era (2010+),United States
Baby Blues,30.0,0,7.1,Traditional,Modern (97-09),United States
Avenger Penguins,22.0,0,7.2,Traditional,Golden Age (85-96),United Kingdom
"Dr. Katz, Professional Therapist",30.0,1,7.7,Traditional,Golden Age (85-96),United States
Bad Dog,21.0,0,5.1,Traditional,Modern (97-09),Coproduction
Back at the Barnyard,25.0,0,5.8,CGI,Modern (97-09),United States
Back to the Future,23.0,0,6.4,Traditional,Golden Age (85-96),Coproduction
Big Tree City,24.0,1,8.1,CGI,Streaming Era (2010+),United Kingdom
Doomsday Brothers,22.0,0,5.7,Flash,Streaming Era (2010+),Canada
Baby Looney Tunes,22.0,0,6.2,Traditional,Modern (97-09),United States
Dr. Zitbag's Transylvania Pet Shop,30.0,0,7.0,Traditional,Golden Age (85-96),Coproduction
Dragon Tales,30.0,0,6.5,Traditional,Modern (97-09),Coproduction
Kevin Spencer,30.0,1,6.8,Traditional,Modern (97-09),Canada
"Harvey Birdman, Attorney at Law",15.0,1,8.0,Flash,Modern (97-09),United States
Alice & Lewis,11.0,1,7.8,CGI,Streaming Era (2010+),France
The Triplets,24.0,0,6.2,Traditional,Golden Age (85-96),Spain
The Twisted Whiskers Show,30.0,0,7.3,CGI,Streaming Era (2010+),Coproduction
Kangaroo Beach,11.0,0,7.1,CGI,Streaming Era (2010+),Australian
Chloe's Closet,11.0,0,5.4,Flash,Streaming Era (2010+),United Kingdom
The Brak Show,15.0,0,7.1,Flash,Modern (97-09),United States
Avengers Assemble,23.0,1,7.0,Traditional,Streaming Era (2010+),United States
Hareport,13.0,1,8.3,CGI,Streaming Era (2010+),France
Albie,10.0,0,6.8,Traditional,Modern (97-09),United Kingdom
Spaced Out,26.0,0,7.2,Traditional,Modern (97-09),Coproduction
Axe Cop,15.0,0,7.3,Traditional,Streaming Era (2010+),United States
The Lampies,11.0,0,7.3,Traditional,Modern (97-09),United Kingdom
The Kids from Room 402,23.0,1,8.2,Traditional,Modern (97-09),Coproduction
The Beachbuds,11.0,1,8.1,CGI,Streaming Era (2010+),Canada
The Venture Bros.,22.0,1,8.6,Traditional,Modern (97-09),United States
Cave Kids,30.0,0,6.0,Traditional,Golden Age (85-96),United States
Space Ghost Coast to Coast,15.0,1,7.9,"Traditional (1994–1996), Flash (1997–2008)",Golden Age (85-96),United States
Dan Dare: Pilot of the Future,30.0,0,6.9,CGI,Modern (97-09),Coproduction
Jay Jay the Jet Plane,11.0,0,3.8,"CGI, Live-Action",Modern (97-09),United States
Aaagh! It's the Mr. Hell Show!,25.0,0,7.2,Flash,Modern (97-09),Coproduction
Nerds and Monsters,30.0,0,4.8,Flash,Streaming Era (2010+),Canada
Banja,26.0,0,6.6,Flash,Modern (97-09),France
Talking Tom and Friends Minis,4.0,0,7.4,Flash,Streaming Era (2010+),Coproduction
Oscar's Orchestra,30.0,1,7.9,Traditional,Golden Age (85-96),Coproduction
The Cramp Twins,30.0,0,6.1,Traditional,Modern (97-09),Coproduction
The Country Mouse and the City Mouse Adventures,23.0,0,7.5,Traditional,Modern (97-09),Coproduction
The Untouchables of Elliot Mouse,30.0,0,7.5,Traditional,Modern (97-09),Spain
Butt-Ugly Martians,30.0,0,3.5,CGI,Modern (97-09),Coproduction
1001 Nights,11.0,1,7.8,Flash,Streaming Era (2010+),Canada
Juniper Jungle,10.0,0,7.2,Traditional,Golden Age (85-96),United Kingdom
Transformers: Robots in Disguise,22.0,0,6.0,Traditional/Flash,Streaming Era (2010+),Coproduction
Junglies,5.0,1,8.4,Traditional,Golden Age (85-96),United Kingdom
Transformers: Rescue Bots,20.0,0,6.6,Traditional (season 1)/Flash (season 2-4),Streaming Era (2010+),United States
Strawberry Shortcake's Berry Bitty Adventures,29.0,0,6.3,CGI,Streaming Era (2010+),Coproduction
Class of the Titans,23.0,0,7.1,Traditional,Modern (97-09),Canada
Oggy and the Cockroaches,8.0,1,7.5,Traditional,Modern (97-09),France
