title,premiere_year,final_year,seasons,episodes,country,technique,era,run_years,averageRating,numVotes,runtimeMinutes,genres,tconst
Unicorn: Warriors Eternal,2022,2022,,,United States,Traditional,Streaming Era (2010+),0,7.2,2282.0,,"Action,Adventure,Animation",tt13373182
Shelldon,2009,2012,3,78,"United States, Thailand",CGI,Modern (97-09),3,6.7,62.0,22.0,"Animation,Family",tt1333922
The Gumby Show,1955,1968,,261,United States,,Classic (pre-1970),13,7.0,1704.0,30.0,"Adventure,Animation,Comedy",tt0050022
Doodlez,2002,2004,1,50,Canada,Flash,Modern (97-09),2,7.2,135.0,2.0,"Animation,Comedy,Short",tt0489596
The Brothers Flub,1999,2000,1,26,United States,Traditional,Modern (97-09),1,4.0,154.0,30.0,"Animation,Comedy,Family",tt0481977
Lost In Oz,2017,2018,2,26,United States,CGI,Streaming Era (2010+),1,7.5,695.0,24.0,"Adventure,Animation,Family",tt4677846
Calimero,1974,1975,,99,Japan,,Bronze Age (70s-84),1,5.9,826.0,30.0,"Animation,Family",tt0296317
The Barefoot Bandits,2014,2018,,10,"Australia, New Zealand",Flash,Streaming Era (2010+),4,8.1,55.0,,Animation,tt4110062
Danger Rangers,2005,2006,1,16,United States,Traditional,Modern (97-09),1,7.7,121.0,29.0,"Action,Adventure,Animation",tt0923157
Tiny Planets,2001,2002,1,64,"Britain, United States",CGI,Modern (97-09),1,7.2,372.0,5.0,"Animation,Family,Sci-Fi",tt0408430
Niko and the Sword of Light,2017,2019,,23,United States,Flash,Streaming Era (2010+),2,7.6,567.0,22.0,"Action,Adventure,Animation",tt3952772
Danger & Eggs,2017,2017,,13,United States,Traditional,Streaming Era (2010+),0,5.2,754.0,22.0,"Adventure,Animation,Comedy",tt5120600
Rescue Heroes,1999,2002,3,40,Canada,Traditional,Modern (97-09),3,6.7,472.0,30.0,"Action,Animation,Family",tt0235132
Windfalls,1989,1989,1,26,United Kingdom,Traditional,Golden Age (85-96),0,,,5.0,"Animation,Family",tt0472441
Queer Duck,2002,2004,1,20,United States,Flash,Modern (97-09),2,6.2,321.0,4.0,"Animation,Comedy,Short",tt0372707
Hot Streets,2018,2019,2,20,United States,Flash,Streaming Era (2010+),1,6.0,430.0,10.0,"Action,Animation,Comedy",tt7234598
If You Give a Mouse a Cookie,2017,,,33,United States,Traditional,Streaming Era (2010+),6,6.6,289.0,22.0,"Adventure,Animation",tt7344644
Pucca,2006,2009,2,117,"Canada, South Korea",Flash,Modern (97-09),3,6.6,5286.0,6.0,"Action,Animation,Comedy",tt0795256
Lulu Vroumette,2012,2013,2,,France,CGI,Streaming Era (2010+),1,7.9,22.0,13.0,Animation,tt2108809
Yoko! Jakamoko! Toto!,2003,2005,,52,United Kingdom,Flash,Modern (97-09),2,5.9,121.0,,"Animation,Family",tt0448314
Dragon Hunters,2006,2007,,52,"France, Canada, USA",Traditional,Modern (97-09),1,7.5,1048.0,24.0,"Action,Adventure,Animation",tt0488444
Book Hungry Bears,2018,2019,,104,"Britain, Canada",CGI,Streaming Era (2010+),1,8.8,11.0,11.0,"Animation,Family",tt11690930
Barbapapa,1975,1975,,,"France, Japan",,Bronze Age (70s-84),0,7.0,1440.0,5.0,"Adventure,Animation,Comedy",tt0304999
