title,premiere_year,final_year,seasons,episodes,country,technique,era,run_years,averageRating,numVotes,runtimeMinutes,genres,tconst
The Shoe People,1987,1988,2,26,United Kingdom,Traditional,Golden Age (85-96),1,7.2,375.0,5.0,"Animation,Family",tt0862624
The Rubbish World of Dave Spud,2019,2021,,26,United Kingdom,Flash,Streaming Era (2010+),2,6.9,195.0,11.0,"Adventure,Animation,Family",tt9015192
The Simpsons,1989,,33,722,United States,Traditional,Golden Age (85-96),34,8.6,468353.0,22.0,"Animation,Comedy",tt0096697
The Smoggies,1988,1991,1,52,"Canada, France",Traditional,Golden Age (85-96),3,6.6,129.0,30.0,"Animation,Family",tt0179610
The Smurfs,2021,,1,52,"Belgium, United States",CGI,Streaming Era (2010+),2,6.4,783.0,12.0,"Adventure,Animation,Comedy",tt14670820
The Snoopy Show,2021,,2,19,United States,Traditional,Streaming Era (2010+),2,8.1,1009.0,,"Action,Adventure,Animation",tt13206602
The Spectacular Spider-Man,2008,2009,2,26,United States,Traditional,Modern (97-09),1,8.4,23018.0,23.0,"Action,Adventure,Animation",tt0976192
The Spooktacular New Adventures of Casper,1996,1998,4,52,United States,Traditional,Golden Age (85-96),2,5.9,1386.0,25.0,"Adventure,Animation,Comedy",tt0115128
The Spooky Sisters,2004,2004,,13,United Kingdom,CGI,Modern (97-09),0,6.4,28.0,5.0,"Animation,Comedy,Family",tt0463837
The Strange Chores,2019,,,26,Australia,Toon Boom Harmony,Streaming Era (2010+),4,7.0,125.0,11.0,Animation,tt7678604
The Skinner Boys: Guardians of the Lost Secrets,2014,2017,,52,Australia,Flash,Streaming Era (2010+),3,7.3,38.0,23.0,"Adventure,Animation,Drama",tt6270328
The Rocketeer,2019,2020,,,United States,CGI,Streaming Era (2010+),1,5.2,335.0,30.0,"Action,Adventure,Animation",tt8068852
The Ripping Friends,2001,2002,1,13,"Canada, United States",Flash,Modern (97-09),1,6.3,544.0,30.0,"Animation,Comedy",tt0290117
The Ricky Gervais Show,2010,2012,3,39,"UK, United States",Flash,Streaming Era (2010+),2,8.4,17698.0,30.0,"Animation,Comedy,Talk-Show",tt1553644
The Pirates of Dark Water,1991,1993,2,21,United States,Traditional,Golden Age (85-96),2,8.2,3193.0,30.0,"Action,Adventure,Animation",tt0101169
The PJs,1999,2001,3,46,United States,Stop Motion,Modern (97-09),2,6.8,4416.0,30.0,"Animation,Comedy",tt0182621
The Plucky Duck Show,1992,1992,1,13,United States,Traditional,Golden Age (85-96),0,6.5,216.0,,"Adventure,Animation,Comedy",tt0103513
The Poddington Peas,1989,1989,1,13,United Kingdom,Traditional,Golden Age (85-96),0,6.7,258.0,5,"Adventure,Animation,Family",tt1226712
The Pole,2021,,1,6,United States,Flash,Streaming Era (2010+),2,5.5,162.0,13.0,"Animation,Comedy,Fantasy",tt13212870
The Pondles,1987,1987,1,13,United Kingdom,Traditional,Golden Age (85-96),0,5.6,15.0,11.0,"Animation,Family",tt1273498
The Popeye Show,2001,2002,1,45,United States,Traditional,Modern (97-09),1,7.4,175.0,30.0,"Animation,Family",tt0401051
The Powerpuff Girls,1998,2005,6,78,United States,Traditional,Modern (97-09),7,7.3,52881.0,30.0,"Action,Adventure,Animation",tt0175058
The Prince,2021,2021,1,13,United States,Flash,Streaming Era (2010+),0,5.8,3702.0,14,"Animation,Comedy",tt11650736
The Prince of Atlantis,1997,1997,1,26,United Kingdom,CGI,Modern (97-09),0,7.8,13.0,25.0,"Action,Adventure,Animation",tt4985594
The Proud Family,2001,2005,2,53,United States,Traditional,Modern (97-09),4,6.6,9030.0,30.0,"Animation,Comedy,Family",tt0293737
The Proud Family: Louder and Prouder,2022,,1,10,United States,Traditional,Streaming Era (2010+),1,3.3,5587.0,30,"Adventure,Animation,Comedy",tt11871764
The Ratties,1988,1988,1,26,United Kingdom,Traditional,Golden Age (85-96),0,7.9,63.0,5.0,"Animation,Comedy,Family",tt0421439
The Real Adventures of Jonny Quest,1996,1997,2,52,United States,Traditional,Golden Age (85-96),1,7.7,2949.0,21.0,"Action,Adventure,Animation",tt0115226
The Remarkable Mr. King,2019,,1,7,Canada,ToonBoom Harmony,Streaming Era (2010+),4,,,,Animation,tt11251558
The Ren & Stimpy Show,1991,1996,5,52,United States,Traditional,Golden Age (85-96),5,7.5,26187.0,30.0,"Adventure,Animation,Comedy",tt0101178
The Replacements,2006,2009,,52,United States,Traditional,Modern (97-09),3,5.9,3623.0,22.0,"Animation,Comedy,Family",tt0816401
The Studio K Show,2017,,,13,Canada,Traditional,Streaming Era (2010+),6,7.6,12.0,,"Comedy,Game-Show",tt6610396
The Pink Panther,1993,1995,2,60,United States,Traditional,Golden Age (85-96),2,6.9,2050.0,30.0,"Adventure,Animation,Comedy",tt0108895
The Summoner,2021,,1,6,United States,Flash,Streaming Era (2010+),2,6.2,22.0,,"Animation,Comedy,Short",tt13018040
The Super Mario Bros. Super Show!,1989,1990,1,65,United States,Traditional,Golden Age (85-96),1,6.3,5399.0,30.0,"Action,Adventure,Animation",tt0096707
The ZhuZhus,2016,2017,,26,"Canada, United States",Flash,Streaming Era (2010+),1,5.8,143.0,22.0,"Adventure,Animation,Comedy",tt6240606
The Zimmer Twins,2005,2005,,30,Canada,Flash,Modern (97-09),0,8.2,21.0,,"Animation,Family",tt9144248
The Zula Patrol,2005,2009,,52,United States,CGI,Modern (97-09),4,6.8,189.0,28.0,"Adventure,Animation,Comedy",tt0478960
Theodore Tugboat,1993,2001,5,130,Canada,Traditional,Golden Age (85-96),8,7.3,265.0,15.0,"Animation,Family",tt0247137
"This Is America, Charlie Brown",1988,1989,1,12,United States,Traditional,Golden Age (85-96),1,7.4,771.0,24.0,"Animation,Comedy,Family",tt0286397
Those Scurvy Rascals,2005,2006,,26,United Kingdom,CGI,Modern (97-09),1,6.8,45.0,,"Animation,Comedy",tt0862630
Three Delivery,2008,2009,,28,"Canada, United States",Flash,Modern (97-09),1,7.3,129.0,22,"Action,Adventure,Animation",tt1227695
The Zeta Project,2001,2002,2,26,United States,Traditional,Modern (97-09),1,6.9,1357.0,30.0,"Action,Adventure,Animation",tt0260662
Thunderbirds Are Go,2015,2020,3,78,"United Kingdom, New Zealand, Australia",CGI,Streaming Era (2010+),5,6.9,1978.0,22.0,"Action,Adventure,Animation",tt3138604
TigerSharks,1987,1987,1,26,United States,Traditional,Golden Age (85-96),0,6.9,168.0,12.0,"Action,Adventure,Animation",tt2169999
Time Squad,2001,2003,2,26,United States,Traditional,Modern (97-09),2,7.4,1956.0,30.0,"Animation,Comedy,Family",tt0291672
Time Traveler Luke,2020,2021,1,52,South Korea,CGI,Streaming Era (2010+),1,7.7,44.0,20.0,"Action,Adventure,Animation",tt15102132
Time Warp Trio,2005,2006,,26,"Canada, United States",Flash,Modern (97-09),1,7.3,229.0,22.0,"Adventure,Animation,Comedy",tt0813910
Timmy Time,2009,2012,,82,United Kingdom,Stop Motion,Modern (97-09),3,6.7,1667.0,10.0,"Animation,Family,Fantasy",tt1125758
Timon & Pumbaa,1995,1999,3,86,United States,Traditional,Golden Age (85-96),4,7.0,12278.0,22.0,"Adventure,Animation,Comedy",tt0112197
Timothy Goes to School,2000,2001,2,26,"Canada, Hong Kong",Traditional,Modern (97-09),1,6.7,602.0,30.0,"Animation,Comedy,Family",tt0364890
ThunderCats Roar,2020,2020,1,40,United States,Traditional,Streaming Era (2010+),0,2.2,2986.0,11.0,"Action,Animation,Comedy",tt8435344
The X's,2005,2006,,20,United States,Flash,Modern (97-09),1,5.9,1562.0,30.0,"Action,Animation,Comedy",tt0443418
The WotWots,2009,2011,,78,New Zealand,CGI,Modern (97-09),2,5.2,139.0,10.0,"Animation,Family",tt1430135
The World of Tosh,2002,2003,1,26,Sweden,Traditional,Modern (97-09),1,6.4,111.0,30.0,"Animation,Comedy,Family",tt0386992
The Sylvester & Tweety Mysteries,1995,2000,5,52,United States,Traditional,Golden Age (85-96),5,7.0,5800.0,30.0,"Adventure,Animation,Comedy",tt0112186
The Tex Avery Show,1996,2002,,99,United States,Traditional,Golden Age (85-96),6,7.0,193.0,30.0,Animation,tt0346415
The Tick,1994,1996,3,36,United States,Traditional,Golden Age (85-96),2,7.8,10728.0,30.0,"Action,Adventure,Animation",tt0112196
The Tiny Chef Show,2022,2022,,,United States,Stop-Motion/Live-Action,Streaming Era (2010+),0,8.1,558.0,,"Animation,Family,Short",tt10558660
The Tofus,2004,2007,,26,"Canada, France",Traditional,Modern (97-09),3,6.2,318.0,13.0,"Animation,Short",tt0417369
The Treacle People,1996,1997,1,13,United Kingdom,Traditional,Golden Age (85-96),1,8.7,39.0,10.0,"Animation,Comedy,Family",tt0862631
The Twisted Tales of Felix the Cat,1995,1997,2,21,United States,Traditional,Golden Age (85-96),2,7.5,573.0,25.0,"Adventure,Animation,Comedy",tt0179618
The Unstoppable Yellow Yeti,2022,,1,50,"Finland, France",Toon-Boom,Streaming Era (2010+),1,7.3,67.0,11.0,"Adventure,Animation,Comedy",tt15510220
The VeggieTales Show,2019,,1,8,United States,CGI,Streaming Era (2010+),4,7.6,116.0,,"Animation,Comedy,Family",tt10233662
The Wacky World of Tex Avery,1997,1997,1,65,"France, US",Traditional,Modern (97-09),0,4.8,697.0,30.0,"Animation,Comedy,Family",tt0136680
The Weekenders,2000,2004,4,39,United States,Traditional,Modern (97-09),4,8.0,3077.0,15.0,"Animation,Comedy,Family",tt0237987
The Wild Thornberrys,1998,2004,5,91,United States,Traditional,Modern (97-09),6,6.6,17318.0,30.0,"Adventure,Animation,Comedy",tt0167743
The Wizard of Oz,1990,1990,1,13,United States,Traditional,Golden Age (85-96),0,6.5,364.0,30.0,"Action,Adventure,Animation",tt0098950
The Wonderful World of Mickey Mouse,2020,,1,22,United States,Traditional,Streaming Era (2010+),3,7.9,1803.0,8.0,"Adventure,Animation,Comedy",tt13089270
The World of Peter Rabbit and Friends,1992,1995,1,9,United Kingdom,Traditional,Golden Age (85-96),3,8.4,1269.0,24.0,"Adventure,Animation,Biography",tt0296886
The Super Hero Squad Show,2009,2011,,52,United States,Traditional,Modern (97-09),2,6.2,2313.0,,"Action,Adventure,Animation",tt1388589
Tinga Tinga Tales,2010,2011,2,52,"UK, Kenya",Flash,Streaming Era (2010+),1,7.6,205.0,12.0,"Animation,Family",tt1691407
The Penguins of Madagascar,2008,2015,3,149,United States,CGI,Modern (97-09),7,7.5,25175.0,11.0,"Action,Adventure,Animation",tt0892700
The Oz Kids,1996,1996,1,9,United States,Traditional,Golden Age (85-96),0,7.4,48.0,,"Adventure,Animation,Family",tt0115307
The Hollow,2018,2020,,20,Canada,Flash,Streaming Era (2010+),2,7.2,5808.0,24.0,"Adventure,Animation,Drama",tt6193336
The Hoobs,2001,2002,5,250,United Kingdom,Stop Motion,Modern (97-09),1,6.0,206.0,24.0,"Family,Fantasy,Sci-Fi",tt0462108
The Incredible Hulk,1996,1997,2,21,United States,Traditional,Golden Age (85-96),1,6.7,4204.0,20.0,"Action,Adventure,Animation",tt0115215
The Jellies!,2017,2019,2,20,United States,Flash,Streaming Era (2010+),2,6.3,372.0,11.0,"Animation,Comedy",tt6898698
The Jungle Book,2010,2020,2,104,India,CGI,Streaming Era (2010+),10,4.8,239.0,30.0,"Adventure,Animation,Family",tt1794595
The Jungle Bunch: To the Rescue!,2013,2020,3,104,"France, UK",CGI,Streaming Era (2010+),7,7.3,586.0,11.0,"Adventure,Animation,Family",tt4505630
The Karate Kid,1989,1989,1,13,United States,Traditional,Golden Age (85-96),0,5.0,386.0,,"Action,Adventure,Animation",tt0137311
The Hive,2010,2016,2,78,United Kingdom,CGI,Streaming Era (2010+),6,6.3,206.0,7.0,"Animation,Family",tt1715134
The Koala Brothers,2003,2007,,90,"Australia, Britain",Stop Motion,Modern (97-09),4,6.7,920.0,15.0,"Adventure,Animation,Comedy",tt0445882
The Last Kids on Earth,2019,,,11,"Canada, United States",Traditional,Streaming Era (2010+),4,7.2,2289.0,,"Adventure,Animation,Comedy",tt8914012
The Legend of Korra,2012,2014,4,52,United States,Traditional,Streaming Era (2010+),2,8.3,150761.0,23.0,"Action,Adventure,Animation",tt1695360
The Legend of Prince Valiant,1991,1994,2,65,United States,Traditional,Golden Age (85-96),3,7.4,874.0,22.0,"Adventure,Animation,Drama",tt0101171
The Legend of Qin,2007,,,100,China,CGI,Modern (97-09),16,8.2,75.0,22.0,"Action,Adventure,Animation",tt5887030
The Legend of Vox Machina,2022,,1,12,United States,Traditional,Streaming Era (2010+),1,8.4,53712.0,30.0,"Action,Adventure,Animation",tt11247158
The Legend of Zelda,1989,1989,1,13,United States,Traditional,Golden Age (85-96),0,6.0,2241.0,15.0,"Action,Adventure,Animation",tt0832330
The Legends of Treasure Island,1993,1995,2,26,United Kingdom,Traditional,Golden Age (85-96),2,7.7,220.0,25.0,"Adventure,Animation,Family",tt0341973
The Land Before Time,2007,2008,,26,United States,Traditional,Modern (97-09),1,6.4,1178.0,23.0,"Adventure,Animation,Family",tt0473584
The High Fructose Adventures of Annoying Orange,2012,2014,2,60,United States,Syncro-Vox/Live Action,Streaming Era (2010+),2,2.1,3771.0,30.0,"Action,Adventure,Animation",tt2114184
The Heroic Quest of the Valiant Prince Ivandoe,2017,2017,1,10,"Denmark, United Kingdom",Flash,Streaming Era (2010+),0,7.3,336.0,11.0,"Action,Adventure,Animation",tt8649544
The Head,1994,1996,2,14,United States,Traditional,Golden Age (85-96),2,7.0,1472.0,22.0,"Action,Adventure,Animation",tt0108799
The Enchanted World of Brambly Hedge,1996,2000,1,8,United Kingdom,Stop Motion,Golden Age (85-96),4,8.2,160.0,30.0,"Animation,Family",tt0796568
The Epic Tales of Captain Underpants,2018,2020,4,45,United States,Flash,Streaming Era (2010+),2,6.7,1565.0,24.0,"Action,Adventure,Animation",tt7741830
The Fairly OddParents,2001,2017,10,172,United States,Traditional (Season 1–10) Flash (Season 10),Modern (97-09),16,7.2,51982.0,30.0,"Adventure,Animation,Comedy",tt0235918
The Fairly OddParents: Fairly Odder,2022,,1,13,United States,Flash/Live-Action,Streaming Era (2010+),1,2.5,998.0,25.0,"Adventure,Comedy,Family",tt15057532
The Fantastic Voyages of Sinbad the Sailor,1996,1998,1,26,United States,Traditional,Golden Age (85-96),2,7.3,89.0,30,"Action,Adventure,Animation",tt1104743
The Flamin' Thongs,2014,2014,,26,Australia,CGI,Streaming Era (2010+),0,5.9,59.0,312,"Adventure,Animation,Comedy",tt2750780
The Frog Show,2003,2003,,78,France,Traditional,Modern (97-09),0,8.2,21.0,,Animation,tt3694524
The Further Adventures of SuperTed,1989,1990,1,13,"US, UK",Traditional,Golden Age (85-96),1,7.1,173.0,30.0,"Action,Adventure,Animation",tt0287216
The Future Is Wild,2007,2008,,26,Canada,CGI,Modern (97-09),1,6.5,129.0,22.0,"Animation,Family,Sci-Fi",tt0937344
The Ghost and Molly McGee,2021,,1,20,United States,Flash,Streaming Era (2010+),2,7.5,2404.0,22.0,"Adventure,Animation,Comedy",tt10684374
The Gnoufs,2004,2004,,52,France,CGI,Modern (97-09),0,8.3,14.0,13,Animation,tt1191975
The Goode Family,2009,2009,,13,United States,Traditional,Modern (97-09),0,6.4,1615.0,23.0,"Animation,Comedy",tt1183569
The Great North,2021,,2,33,United States,Traditional,Streaming Era (2010+),2,7.0,7415.0,21.0,"Animation,Comedy,Musical",tt9140632
The Grim Adventures of Billy & Mandy,2001,2007,,78,United States,Traditional,Modern (97-09),6,7.6,28997.0,30.0,"Adventure,Animation,Comedy",tt0292800
The Happos Family,2016,2016,,20,Italy,CGI,Streaming Era (2010+),0,5.8,39.0,2.0,"Adventure,Animation,Family",tt7636600
The Harper House,2021,2021,1,10,United States,Flash,Streaming Era (2010+),0,5.5,402.0,30.0,"Animation,Comedy",tt11714502
The Haunted House,2016,,4,81,South Korea,Traditional,Streaming Era (2010+),7,7.2,268.0,26.0,"Adventure,Animation,Comedy",tt9518312
The Life & Times of Tim,2008,2012,,30,United States,Flash,Modern (97-09),4,8.3,7288.0,900.0,"Animation,Comedy",tt0950701
The Patrick Star Show,2021,,1,18,United States,Traditional,Streaming Era (2010+),2,3.7,2166.0,11.0,"Animation,Comedy,Family",tt12915960
The Life and Times of Juniper Lee,2005,2007,3,40,United States,Traditional,Modern (97-09),2,6.4,3642.0,30.0,"Action,Adventure,Animation",tt0419348
The Lingo Show,2012,2013,,30,United Kingdom,Live action and Flash,Streaming Era (2010+),1,8.4,29.0,11.0,"Animation,Family",tt2100313
The New Adventures of Lucky Luke,2001,2003,1,52,France,Traditional,Modern (97-09),2,7.1,735.0,30.0,"Animation,Comedy,Family",tt0295794
The New Adventures of Nanoboy,2008,2008,,26,"Canada, Singapore",Flash,Modern (97-09),0,7.5,78.0,11.0,"Action,Animation,Comedy",tt2647802
The New Adventures of Ocean Girl,2000,2000,1,26,Australia,Traditional,Modern (97-09),0,7.9,85.0,30.0,"Action,Adventure,Animation",tt0287253
The New Adventures of Peter Pan,2012,2012,,26,"France, India",CGI,Streaming Era (2010+),0,5.1,203.0,22.0,"Adventure,Animation,Family",tt2795864
The New Adventures of Speed Racer,1993,1994,1,13,United States,Traditional,Golden Age (85-96),1,6.2,301.0,,"Action,Adventure,Animation",tt0108939
The New Adventures of Winnie the Pooh,1988,1991,4,83,United States,Traditional,Golden Age (85-96),3,7.6,5506.0,30.0,"Adventure,Animation,Comedy",tt0165052
The New Archies,1987,1989,1,14,United States,Traditional,Golden Age (85-96),2,6.1,158.0,30.0,"Animation,Comedy,Family",tt0176382
The New Adventures of He-Man,1990,1991,1,65,United States,Traditional,Golden Age (85-96),1,5.3,762.0,30.0,"Action,Adventure,Animation",tt0169477
The New Batman Adventures,1997,1999,2,24,United States,Traditional,Modern (97-09),2,8.4,21168.0,30.0,"Action,Adventure,Animation",tt0118266
The Nudnik Show,1991,1991,1,12,Czechoslovakia,Traditional,Golden Age (85-96),0,6.1,15.0,30.0,Animation,tt0299359
The Nutshack,2007,2011,,16,United States,Flash,Modern (97-09),4,2.2,2456.0,22.0,"Animation,Comedy",tt1372153
The Oblongs,2001,2002,2,13,United States,Traditional,Modern (97-09),1,7.1,10213.0,284.0,"Animation,Comedy,Sci-Fi",tt0219446
The Octonauts,2010,2021,4,104,"UK, Ireland",CGI,Streaming Era (2010+),11,7.5,2093.0,11.0,"Adventure,Animation,Comedy",tt1710177
The Oddbods Show,2016,,3,147,"Singapore, United Kingdom",CGI,Streaming Era (2010+),7,6.2,458.0,,"Animation,Comedy,Family",tt6229656
The Ollie & Moon Show,2017,,,52,France,Flash,Streaming Era (2010+),6,8.4,113.0,11.0,"Animation,Comedy,Fantasy",tt6549760
The Owl House,2020,,2,40,United States,Traditional,Streaming Era (2010+),3,8.6,25510.0,22.0,"Action,Adventure,Animation",tt8050756
The New Yogi Bear Show,1988,1988,1,45,United States,Traditional,Golden Age (85-96),0,6.5,292.0,24.0,"Animation,Comedy,Family",tt0450931
The Mysterious Cities of Gold,2012,2013,,26,"Belgium, France",Traditional,Streaming Era (2010+),1,8.1,309.0,25.0,"Adventure,Animation,Comedy",tt2563792
The Mr. Peabody & Sherman Show,2015,2017,4,52,United States,Flash,Streaming Era (2010+),2,5.8,676.0,23.0,"Adventure,Animation,Comedy",tt5021206
The Mr. Men Show,2008,2009,,52,"Britain, United States",Flash,Modern (97-09),1,7.1,1328.0,22.0,"Animation,Comedy,Family",tt1029211
The Lionhearts,1998,1998,1,13,United States,Traditional,Modern (97-09),0,6.6,107.0,30.0,"Animation,Comedy,Family",tt0162816
The Little Flying Bears,1990,1991,1,39,"Canada, Croatia",Traditional,Golden Age (85-96),1,8.0,478.0,26.0,"Animation,Family",tt0300797
The Little Lulu Show,1995,1999,3,52,"United States, Canada",Traditional,Golden Age (85-96),4,7.2,871.0,25.0,"Animation,Comedy,Family",tt0242213
The Little Mermaid,1992,1994,3,31,United States,Traditional,Golden Age (85-96),2,6.8,6921.0,25.0,"Adventure,Animation,Comedy",tt0103477
The Looney Tunes Show,2011,2014,2,52,United States,Traditional (CGI for shorts),Streaming Era (2010+),3,7.8,17814.0,23.0,"Adventure,Animation,Comedy",tt1726839
The Magic House,1994,1996,,52,United Kingdom,Stop Motion,Golden Age (85-96),2,,,,Family,tt23329630
The Magic Key,2000,2001,1,26,United Kingdom,Traditional,Modern (97-09),1,7.0,31.0,14.0,"Adventure,Animation,Family",tt6643520
The Magic Roundabout,2007,2010,2,52,United Kingdom,CGI,Modern (97-09),3,6.4,86.0,11.0,"Animation,Comedy",tt2436022
The Magic School Bus,1994,1997,4,52,"United States, Canada",Traditional,Golden Age (85-96),3,7.8,12649.0,30.0,"Adventure,Animation,Comedy",tt0108847
The Magic School Bus Rides Again,2017,2018,2,26,"Canada, United States",Flash,Streaming Era (2010+),1,6.3,1064.0,26,"Adventure,Animation,Comedy",tt3869122
The Magical Adventures of Quasimodo,1996,1996,1,26,"Canada, France, US",Traditional,Golden Age (85-96),0,6.7,51.0,26.0,"Adventure,Animation,Fantasy",tt0819821
The Marvelous Misadventures of Flapjack,2008,2010,3,92,United States,Traditional,Modern (97-09),2,7.8,17998.0,11.0,"Adventure,Animation,Comedy",tt1178180
The Midnight Gospel,2020,2020,1,8,United States,Flash/Traditional,Streaming Era (2010+),0,8.2,29712.0,23,"Adventure,Animation,Comedy",tt11639414
The Mighty B!,2008,2011,2,40,United States,Traditional,Modern (97-09),3,5.3,2931.0,24.0,"Animation,Comedy,Family",tt0917551
The Mighty Ones,2020,2021,2,20,United States,Flash,Streaming Era (2010+),1,6.6,209.0,22.0,"Animation,Comedy,Family",tt11714946
The Misfortune of Being Ned,2013,2014,2,20,United States,Flash,Streaming Era (2010+),1,7.6,14.0,1.0,"Animation,Comedy",tt10627608
The Mouse and the Monster,1996,1997,1,13,United States,Traditional,Golden Age (85-96),1,6.5,48.0,30.0,"Animation,Comedy",tt0426753
The Likeaballs,2006,2006,,26,United Kingdom,Traditional,Modern (97-09),0,7.2,12.0,10.0,"Animation,Family",tt1248906
Tiny Toon Adventures,1990,1995,3,98,United States,Traditional,Golden Age (85-96),5,7.5,15213.0,21.0,"Adventure,Animation,Comedy",tt0098929
Tish Tash,2020,,1,52,"Britain, South Korea",Flash,Streaming Era (2010+),3,8.2,46.0,5.0,"Animation,Family",tt22332184
Titan Maximum,2009,2009,,9,United States,Stop Motion,Modern (97-09),0,7.0,701.0,,"Adventure,Animation,Comedy",tt1441939
Where's Chicky?,2014,,3,156,France,CGI,Streaming Era (2010+),9,7.7,56.0,,"Animation,Comedy,Family",tt6501180
Where's Waldo?,2019,,,,United States,Flash,Streaming Era (2010+),4,7.2,152.0,22.0,"Adventure,Animation,Comedy",tt10242176
Wibbly Pig,2009,2010,,36,United Kingdom,Flash,Modern (97-09),1,7.1,109.0,30.0,"Animation,Comedy,Family",tt1672591
Wicked!,2001,2001,1,26,Australia,Traditional,Modern (97-09),0,7.6,85.0,30.0,"Adventure,Animation,Drama",tt0341997
Wild Kratts,2011,,6,141,"Canada, United States",Flash,Streaming Era (2010+),12,7.7,3197.0,26.0,"Adventure,Animation,Comedy",tt1807859
Wild Life,2020,,1,6,United States,Flash,Streaming Era (2010+),3,6.0,157.0,12,"Animation,Comedy,Short",tt11626010
Wild West C.O.W.-Boys of Moo Mesa,1992,1993,2,26,United States,Traditional,Golden Age (85-96),1,7.2,416.0,30.0,"Action,Adventure,Animation",tt0190210
Where on Earth Is Carmen Sandiego?,1994,1999,4,40,United States,Traditional,Golden Age (85-96),5,7.2,2320.0,21.0,"Action,Adventure,Animation",tt0167742
Willa's Wild Life,2008,2010,1,26,"Canada, France",Flash,Modern (97-09),2,6.9,159.0,25.0,"Animation,Family",tt1596563
Wing Commander Academy,1996,1996,1,13,United States,Traditional,Golden Age (85-96),0,6.8,209.0,22.0,"Action,Adventure,Animation",tt0115421
Winx Club,2004,2019,,104,"Italian, United States (revival)[1]","Mostly traditional (original series), Flash and CGI (revival series)",Modern (97-09),15,6.4,9621.0,25.0,"Action,Adventure,Animation",tt0421482
Wish Kid,1991,1991,1,13,United States,Traditional,Golden Age (85-96),0,5.7,190.0,30.0,"Animation,Comedy,Family",tt0101237
Wishfart,2017,2018,1,20,Canada,Toon Boom Harmony,Streaming Era (2010+),1,6.0,221.0,11.0,"Animation,Comedy,Fantasy",tt6833396
Wissper,2015,,1,52,"Germany, United Kingdom, Ireland",CGI,Streaming Era (2010+),8,6.5,96.0,7.0,Animation,tt5509510
Wolf Joe,2021,,1,10,Canada,Traditional,Streaming Era (2010+),2,6.4,11.0,,Animation,tt13847254
Wolfboy and the Everything Factory,2021,,1,10,British,Flash,Streaming Era (2010+),2,7.5,277.0,25.0,"Adventure,Animation,Comedy",tt15389676
William's Wish Wellingtons,1994,1996,2,26,United Kingdom,Traditional,Golden Age (85-96),2,6.2,125.0,5.0,"Adventure,Animation,Family",tt0778579
Where My Dogs At?,2006,2006,,8,United States,Flash,Modern (97-09),0,6.5,246.0,30.0,"Animation,Comedy",tt0783445
Wheel Squad,2000,2000,2,39,France,Traditional,Modern (97-09),0,7.9,34.0,23.0,"Action,Adventure,Animation",tt0417376
Whatever Happened to... Robot Jones?,2002,2003,1,14,United States,Traditional,Modern (97-09),1,6.5,865.0,30.0,"Adventure,Animation,Comedy",tt0312255
Wanda and the Alien,2014,2015,,52,United Kingdom,Flash,Streaming Era (2010+),1,7.8,41.0,,Animation,tt4543878
Wander Over Yonder,2013,2016,2,79,United States,Flash,Streaming Era (2010+),3,7.4,5427.0,30.0,"Adventure,Animation,Comedy",tt2252938
Wandering Wenda,2017,,,26,Canada,Flash,Streaming Era (2010+),6,7.2,23.0,30.0,"Animation,Family",tt6838596
Watership Down,1999,2001,3,39,Canada,Traditional,Modern (97-09),2,7.6,1177.0,44.0,"Adventure,Animation,Family",tt0211882
Waybuloo,2009,2013,,100,"Britain, Canada",CGI,Modern (97-09),4,5.7,139.0,,"Animation,Comedy,Family",tt1361469
Waynehead,1996,1997,1,13,"Canada, United States",Traditional,Golden Age (85-96),1,6.5,295.0,30.0,"Animation,Comedy",tt0278882
We Baby Bears,2022,,1,29,United States,Traditional,Streaming Era (2010+),1,5.6,911.0,11.0,"Adventure,Animation,Comedy",tt13303478
We the People,2021,2021,1,10,United States,Flash,Streaming Era (2010+),0,4.2,949.0,3.0,"Animation,Comedy,Family",tt14770480
We're Lalaloopsy,2017,2017,,13,United States,Flash,Streaming Era (2010+),0,7.0,71.0,,Animation,tt6495788
Weird Years,2006,2006,,26,Canada,Flash,Modern (97-09),0,7.5,14.0,23,Animation,tt1227125
Welcome to the Wayne,2017,2019,2,30,"Canada, United States",Traditional,Streaming Era (2010+),2,6.9,594.0,,"Adventure,Animation,Comedy",tt7050084
What a Cartoon!,1995,1997,1,48,United States,Traditional,Golden Age (85-96),2,8.4,972.0,30.0,"Action,Adventure,Animation",tt0181266
What About Mimi?,2000,2003,3,39,Canada,Traditional,Modern (97-09),3,6.0,210.0,30.0,"Animation,Comedy,Family",tt0289035
What If...?,2021,,1,9,United States,Traditional/CGI,Streaming Era (2010+),2,7.3,160176.0,32,"Action,Adventure,Animation",tt10168312
"What's New, Scooby-Doo?",2002,2006,3,42,United States,Traditional,Modern (97-09),4,7.4,13188.0,30.0,"Action,Adventure,Animation",tt0306274
What's with Andy?,2001,2007,3,78,"Canada, France, United States",Traditional,Modern (97-09),6,7.6,4187.0,30.0,"Animation,Comedy,Family",tt0289036
What's Your News?,2009,2010,,26,"Australia, Britain, Canada",CGI,Modern (97-09),1,8.2,18.0,22.0,"Animation,Family",tt1595056
"Wolves, Witches and Giants",1995,1999,4,52,United Kingdom,Traditional,Golden Age (85-96),4,7.8,103.0,15.0,"Animation,Family,Fantasy",tt0162835
